"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"5481","consent.html","external-html","0","5631","0.0-0.0","1z84fkru8logy80uxc1r","female","literal","","","","",""
"4756","","instructions","1","10388","0.0-1.0","1z84fkru8logy80uxc1r","female","literal","[{""page_index"":0,""viewing_time"":1775},{""page_index"":1,""viewing_time"":1506},{""page_index"":2,""viewing_time"":836},{""page_index"":3,""viewing_time"":639}]","","","",""
"10771","","html-slider-response","2","21161","0.0-2.0","1z84fkru8logy80uxc1r","female","literal","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","trial",""
"4522","","survey-likert","3","25685","0.0-3.0-0.0","1z84fkru8logy80uxc1r","female","literal","","","","guilty","{""Q0"":2}"
"1175","","survey-likert","4","26871","0.0-3.0-1.0","1z84fkru8logy80uxc1r","female","literal","","","","urgent","{""Q0"":4}"
"858","","survey-likert","5","27737","0.0-3.0-2.0","1z84fkru8logy80uxc1r","female","literal","","","","peace","{""Q0"":3}"
"1545","","survey-likert","6","29292","0.0-3.0-3.0","1z84fkru8logy80uxc1r","female","literal","","","","sympathy","{""Q0"":4}"
"2596","","survey-multi-choice","7","31902","0.0-4.0-0.0","1z84fkru8logy80uxc1r","female","literal","","","","ff-cancer","{""Q0"":""No""}"
"1270","","survey-multi-choice","8","33187","0.0-4.0-1.0","1z84fkru8logy80uxc1r","female","literal","","","","self-cancer","{""Q0"":""No""}"
"6542","","survey-multi-choice","9","39754","0.0-5.0","1z84fkru8logy80uxc1r","female","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2700","","survey-text","10","42465","0.0-6.0","1z84fkru8logy80uxc1r","female","literal","","","","age","{""Q0"":""28""}"
"1535","","survey-text","11","44003","0.0-7.0","1z84fkru8logy80uxc1r","female","literal","","","","purpose","{""Q0"":""""}"
"1074","","survey-text","12","45078","0.0-8.0","1z84fkru8logy80uxc1r","female","literal","","","","feedback","{""Q0"":""""}"
"2988","debrief.html","external-html","13","48301","0.0-9.0","1z84fkru8logy80uxc1r","female","literal","","","","",""
