"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"6765","consent.html","external-html","0","6916","0.0-0.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","",""
"43041","","instructions","1","49959","0.0-1.0","9m9uxgnyy3tooqv0q44d","male","journey","[{""page_index"":0,""viewing_time"":11498},{""page_index"":1,""viewing_time"":22554},{""page_index"":2,""viewing_time"":7833},{""page_index"":3,""viewing_time"":1156}]","","","",""
"56530","","html-slider-response","2","106492","0.0-2.0","9m9uxgnyy3tooqv0q44d","male","journey","","30","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","trial",""
"6782","","survey-likert","3","113277","0.0-3.0-0.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","sympathy","{""Q0"":6}"
"6980","","survey-likert","4","120260","0.0-3.0-1.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","peace","{""Q0"":6}"
"3069","","survey-likert","5","123330","0.0-3.0-2.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","urgent","{""Q0"":6}"
"4638","","survey-likert","6","127970","0.0-3.0-3.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","guilty","{""Q0"":0}"
"5331","","survey-multi-choice","7","133304","0.0-4.0-0.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","ff-cancer","{""Q0"":""No""}"
"1796","","survey-multi-choice","8","135102","0.0-4.0-1.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","self-cancer","{""Q0"":""No""}"
"6610","","survey-multi-choice","9","141719","0.0-5.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","demographics","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3042","","survey-text","10","144764","0.0-6.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","age","{""Q0"":""46""}"
"17438","","survey-text","11","162204","0.0-7.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","purpose","{""Q0"":""To understand how much people are willing to donate.""}"
"1732","","survey-text","12","163938","0.0-8.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","feedback","{""Q0"":""""}"
"2686","debrief.html","external-html","13","166963","0.0-9.0","9m9uxgnyy3tooqv0q44d","male","journey","","","","",""
