"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"4830","consent.html","external-html","0","4877","0.0-0.0","jqud8d49v98d0rrwnhys","female","literal","","","","",""
"21760","","instructions","1","26638","0.0-1.0","jqud8d49v98d0rrwnhys","female","literal","[{""page_index"":0,""viewing_time"":4026},{""page_index"":1,""viewing_time"":13016},{""page_index"":2,""viewing_time"":3835},{""page_index"":3,""viewing_time"":883}]","","","",""
"21059","","html-slider-response","2","47699","0.0-2.0","jqud8d49v98d0rrwnhys","female","literal","","15","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","trial",""
"7884","","survey-likert","3","55584","0.0-3.0-0.0","jqud8d49v98d0rrwnhys","female","literal","","","","guilty","{""Q0"":3}"
"3217","","survey-likert","4","58802","0.0-3.0-1.0","jqud8d49v98d0rrwnhys","female","literal","","","","urgent","{""Q0"":5}"
"2814","","survey-likert","5","61618","0.0-3.0-2.0","jqud8d49v98d0rrwnhys","female","literal","","","","sympathy","{""Q0"":5}"
"1878","","survey-likert","6","63498","0.0-3.0-3.0","jqud8d49v98d0rrwnhys","female","literal","","","","peace","{""Q0"":5}"
"3952","","survey-multi-choice","7","67452","0.0-4.0-0.0","jqud8d49v98d0rrwnhys","female","literal","","","","ff-cancer","{""Q0"":""Yes""}"
"4801","","survey-multi-choice","8","72256","0.0-4.0-1.0","jqud8d49v98d0rrwnhys","female","literal","","","","self-cancer","{""Q0"":""No""}"
"10803","","survey-multi-choice","9","83064","0.0-5.0","jqud8d49v98d0rrwnhys","female","literal","","","","demographics","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"4478","","survey-text","10","87543","0.0-6.0","jqud8d49v98d0rrwnhys","female","literal","","","","age","{""Q0"":""25""}"
"25204","","survey-text","11","112748","0.0-7.0","jqud8d49v98d0rrwnhys","female","literal","","","","purpose","{""Q0"":""PEOPLE'S WILLINGNESS TO MAKE MONETARY CONTRIBUTION IN EMERGENCY CASES. ""}"
"9285","","survey-text","12","122034","0.0-8.0","jqud8d49v98d0rrwnhys","female","literal","","","","feedback","{""Q0"":""INTERESTING AND FUN SURVEY""}"
"5049","debrief.html","external-html","13","127228","0.0-9.0","jqud8d49v98d0rrwnhys","female","literal","","","","",""
