"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","view_history","response","stimulus","qtype","responses"
"4646","consent.html","external-html","0","4731","0.0-0.0","s8f0px4qny6f5244pyeb","female","literal","","","","",""
"10959","","instructions","1","15692","0.0-1.0","s8f0px4qny6f5244pyeb","female","literal","[{""page_index"":0,""viewing_time"":2993},{""page_index"":1,""viewing_time"":4764},{""page_index"":2,""viewing_time"":2452},{""page_index"":3,""viewing_time"":750}]","","","",""
"7165","","html-slider-response","2","22859","0.0-2.0","s8f0px4qny6f5244pyeb","female","literal","","0","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","trial",""
"3283","","survey-likert","3","26142","0.0-3.0-0.0","s8f0px4qny6f5244pyeb","female","literal","","","","sympathy","{""Q0"":6}"
"1237","","survey-likert","4","27380","0.0-3.0-1.0","s8f0px4qny6f5244pyeb","female","literal","","","","urgent","{""Q0"":6}"
"2156","","survey-likert","5","29537","0.0-3.0-2.0","s8f0px4qny6f5244pyeb","female","literal","","","","peace","{""Q0"":6}"
"9680","","survey-likert","6","39219","0.0-3.0-3.0","s8f0px4qny6f5244pyeb","female","literal","","","","guilty","{""Q0"":0}"
"1784","","survey-multi-choice","7","41005","0.0-4.0-0.0","s8f0px4qny6f5244pyeb","female","literal","","","","ff-cancer","{""Q0"":""No""}"
"1175","","survey-multi-choice","8","42181","0.0-4.0-1.0","s8f0px4qny6f5244pyeb","female","literal","","","","self-cancer","{""Q0"":""No""}"
"4181","","survey-multi-choice","9","46368","0.0-5.0","s8f0px4qny6f5244pyeb","female","literal","","","","demographics","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"1744","","survey-text","10","48113","0.0-6.0","s8f0px4qny6f5244pyeb","female","literal","","","","age","{""Q0"":""24""}"
"1474","","survey-text","11","49588","0.0-7.0","s8f0px4qny6f5244pyeb","female","literal","","","","purpose","{""Q0"":""""}"
"993","","survey-text","12","50582","0.0-8.0","s8f0px4qny6f5244pyeb","female","literal","","","","feedback","{""Q0"":""""}"
"2688","debrief.html","external-html","13","53501","0.0-9.0","s8f0px4qny6f5244pyeb","female","literal","","","","",""
