ppt,donation,cond_sex,cond_metaphor,rt_consent,rt_check1,rt_check2,rt_instructions,rt_trial,rt_description,rt_pastdonations,rt_sympathy,rt_urgent,rt_self_cancer,rt_ff_cancer,rt_demographic,rt_age,rt_purpose,rt_feedback,rt_debrief,total_time,check1,check2,description,past_donations,urgent,sympathy,self_cancer,ff_cancer,gender,education,socioeconomic,english,age,purpose,feedback
02254erzhfglvbp2fbkz,45,male,literal,31306,6453,7225,63852,120126,83613,15092,6146,14139,4728,4236,22826,5084,51189,11451,60694,509897,1,2,He was really sick and recovering. We should help him recover and gain normal life by donating him some money. ,3,5,6,N,N,F,B,25-50k,Y,36,Scenario and Donation Decisions... ,Very Nice and Thoughtful Survey. 
02q77xlpynuxgy7zlvru,20,female,literal,60821,2187,2551,32703,20836,16417,6120,2735,4578,2562,2076,12007,2701,37635,4042,7696,218374,1,2,Jennifer is suffering from lymphoma and needs help.,0,5,6,N,Y,F,HS,<10k,Y,20,What receiving the remainder of the money after donation does to amounts donated,No
02wb69b0gjrny3gztupu,5,female,literal,6670,4525,4561,44061,63074,112639,5969,6010,2925,2211,2371,14299,3801,3928,5829,2982,286323,1,2,This girl Jennifer recently went through a complicated thyroid surgery and now she found out she has Stage II Lymphoma. She will have to go through many treatments and the costs for all of this will be a lot. Her friend is helping her by raising some money.,5,3,6,N,N,M,B,25-50k,Y,30,I'm not sure.,Enjoyed the survey. :)
03ttadlplktgjgjq51er,5,female,battle,34695,4840,4770,40168,45731,19279,12849,9067,5500,5416,5140,15142,5139,3990,1630,7035,221707,1,2,a pathetic situation,1,5,4,N,N,M,B,25-50k,Y,45,,
07njkuapmy2pgqjnk166,40,male,battle,6731,2515,3430,40584,55261,29455,5623,4511,8351,2350,2302,13195,3406,1912,1575,2303,183847,1,2,He is battling Lymphoma. He has a long battle ahead of him. This is going to be very expensive. ,15,5,5,N,Y,M,B,100-150k,Y,42,,
07szstfo0gpcp8sfzj72,36,female,journey,4714,3470,3459,10564,39197,28360,9088,5975,5166,5089,6628,9247,4411,2745,1569,2506,143137,1,2,"Jennifer has stage 2 lymphoma, and she is undergoing treatments for the near future.",1,5,5,N,Y,M,B,25-50k,Y,25,,
09f21ggqdc6ec3k85c1j,10,male,battle,38191,3055,3002,34657,50859,70234,29973,4962,22289,14306,2861,24871,4358,50259,2753,28280,385257,1,2,A person named Jason is undergoing chemo because he has a type of cancer and he could use donations to help cover the costs.,5,4,6,N,Y,M,HS,50-75k,Y,19,How compassionate people are if they've been in similar situations to people who are asking for donations.,
0ajaoxsy3347gmp5cazv,30,male,literal,5052,2635,1349,7785,7004,47542,4398,2900,3687,2949,2316,8969,7622,2180,1110,3606,112106,1,2,Jason fights with cancer and there is no one to help with him fund.So that it's appropriate to help him in that situation.,1,6,6,N,N,F,B,25-50k,Y,40,,
0dbx24rfon70evxukfq3,32,female,journey,107808,1852,2774,3625,7071,9668,3316,5446,19118,1733,2848,6894,3800,1547,761,22069,200706,1,2,I thought it was a managable situation.,4,3,3,N,N,M,P,100-150k,Y,27,,
0ems0dg7r4bsw61dut1n,10,male,battle,11666,2888,4094,32998,72581,36761,7331,3563,3447,4094,2186,10390,3463,27885,1392,22174,247435,1,2,That yes he does have lyphoma but he is a fighter and he will get through this. ,4,5,4,N,Y,F,HS,10-25k,Y,58,How people will help people in a bad situation?,
