"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"6600","consent.html","external-html","0","6661","0.0-0.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","","","",""
"2948","","image-button-response","1","9618","0.0-1.0","0xr5cmk6d9kp2k7zh0ym","female","literal","check-1.png","1","check1","","",""
"4651","","image-button-response","2","14276","0.0-2.0","0xr5cmk6d9kp2k7zh0ym","female","literal","check-2.png","2","check2","","",""
"45522","","instructions","3","59801","0.0-3.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","","[{""page_index"":0,""viewing_time"":10214},{""page_index"":1,""viewing_time"":23398},{""page_index"":2,""viewing_time"":9772},{""page_index"":3,""viewing_time"":2135}]","",""
"65444","","html-slider-response","4","125255","0.0-4.0","0xr5cmk6d9kp2k7zh0ym","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","25",""
"58226","","survey-text","5","183486","0.0-5.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","description","","","{""Q0"":""She has lymphoma and is about to start on treatment.  The treatment will last for several months and they are trying to raise money to help with the cost.""}"
"17280","","survey-likert","6","200770","0.0-6.0-0.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","urgent","","","{""Q0"":4}"
"3706","","survey-likert","7","204479","0.0-6.0-1.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","sympathy","","","{""Q0"":6}"
"5822","","survey-text","8","210305","0.0-7.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","past-donations","","","{""Q0"":""0""}"
"7147","","survey-multi-choice","9","217459","0.0-8.0-0.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"5100","","survey-multi-choice","10","222565","0.0-8.0-1.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"14954","","survey-multi-choice","11","237538","0.0-9.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"5136","","survey-text","12","242679","0.0-10.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","age","","","{""Q0"":""38""}"
"5724","","survey-text","13","248405","0.0-11.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","purpose","","","{""Q0"":""""}"
"53285","","survey-text","14","301694","0.0-12.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","feedback","","","{""Q0"":""The format of the survey required some scrolling on my phone in order to read and answer all of the questions.""}"
"28882","debrief.html","external-html","15","330863","0.0-13.0","0xr5cmk6d9kp2k7zh0ym","female","literal","","","","","",""
