"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"53084","consent.html","external-html","0","53212","0.0-0.0","14rl96qvd0kaojnu91wl","female","battle","","","","","",""
"4215","","image-button-response","1","57431","0.0-1.0","14rl96qvd0kaojnu91wl","female","battle","check-1.png","1","check1","","",""
"6264","","image-button-response","2","63697","0.0-2.0","14rl96qvd0kaojnu91wl","female","battle","check-2.png","2","check2","","",""
"38767","","instructions","3","102466","0.0-3.0","14rl96qvd0kaojnu91wl","female","battle","","","","[{""page_index"":0,""viewing_time"":8211},{""page_index"":1,""viewing_time"":19946},{""page_index"":2,""viewing_time"":9164},{""page_index"":3,""viewing_time"":1446}]","",""
"88945","","html-slider-response","4","191414","0.0-4.0","14rl96qvd0kaojnu91wl","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","26",""
"111406","","survey-text","5","302824","0.0-5.0","14rl96qvd0kaojnu91wl","female","battle","","","description","","","{""Q0"":""A person named Jennifer had thyroid surgery, then it was discovered she had non-hodgkins lymphoma stage 2 cancer. She is undergoing chemo. She has a long hard fight ahead of her. I was asked to donate money to her.""}"
"8127","","survey-likert","6","310954","0.0-6.0-0.0","14rl96qvd0kaojnu91wl","female","battle","","","urgent","","","{""Q0"":6}"
"3467","","survey-likert","7","314429","0.0-6.0-1.0","14rl96qvd0kaojnu91wl","female","battle","","","sympathy","","","{""Q0"":6}"
"5696","","survey-text","8","320131","0.0-7.0","14rl96qvd0kaojnu91wl","female","battle","","","past-donations","","","{""Q0"":""1""}"
"2797","","survey-multi-choice","9","322934","0.0-8.0-0.0","14rl96qvd0kaojnu91wl","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"3708","","survey-multi-choice","10","326649","0.0-8.0-1.0","14rl96qvd0kaojnu91wl","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"13775","","survey-multi-choice","11","340435","0.0-9.0","14rl96qvd0kaojnu91wl","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4029","","survey-text","12","344469","0.0-10.0","14rl96qvd0kaojnu91wl","female","battle","","","age","","","{""Q0"":""66""}"
"37588","","survey-text","13","382059","0.0-11.0","14rl96qvd0kaojnu91wl","female","battle","","","purpose","","","{""Q0"":""Perhaps compassion, if not perhaps reading comprehension?""}"
"14927","","survey-text","14","396987","0.0-12.0","14rl96qvd0kaojnu91wl","female","battle","","","feedback","","","{""Q0"":""Thank you for allowing me to participate.""}"
"25047","debrief.html","external-html","15","422377","0.0-13.0","14rl96qvd0kaojnu91wl","female","battle","","","","","",""
