"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5113","consent.html","external-html","0","5270","0.0-0.0","29v2vv9jdb8ybflj1l82","female","battle","","","","","",""
"2012","","image-button-response","1","7287","0.0-1.0","29v2vv9jdb8ybflj1l82","female","battle","check-1.png","1","check1","","",""
"3666","","image-button-response","2","10956","0.0-2.0","29v2vv9jdb8ybflj1l82","female","battle","check-2.png","2","check2","","",""
"12399","","instructions","3","23356","0.0-3.0","29v2vv9jdb8ybflj1l82","female","battle","","","","[{""page_index"":0,""viewing_time"":3838},{""page_index"":1,""viewing_time"":4536},{""page_index"":2,""viewing_time"":3016},{""page_index"":3,""viewing_time"":1008}]","",""
"14605","","html-slider-response","4","37964","0.0-4.0","29v2vv9jdb8ybflj1l82","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","0",""
"26679","","survey-text","5","64645","0.0-5.0","29v2vv9jdb8ybflj1l82","female","battle","","","description","","","{""Q0"":""Jennifer has Lymphoma. It is stage 2 and very expensive in terms of medical bills. ""}"
"5062","","survey-likert","6","69709","0.0-6.0-0.0","29v2vv9jdb8ybflj1l82","female","battle","","","sympathy","","","{""Q0"":5}"
"3422","","survey-likert","7","73132","0.0-6.0-1.0","29v2vv9jdb8ybflj1l82","female","battle","","","urgent","","","{""Q0"":5}"
"3829","","survey-text","8","76964","0.0-7.0","29v2vv9jdb8ybflj1l82","female","battle","","","past-donations","","","{""Q0"":""25""}"
"3100","","survey-multi-choice","9","80068","0.0-8.0-0.0","29v2vv9jdb8ybflj1l82","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2630","","survey-multi-choice","10","82700","0.0-8.0-1.0","29v2vv9jdb8ybflj1l82","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"10160","","survey-multi-choice","11","92870","0.0-9.0","29v2vv9jdb8ybflj1l82","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Doctorate (e.g. PhD, EdD)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"3203","","survey-text","12","96076","0.0-10.0","29v2vv9jdb8ybflj1l82","female","battle","","","age","","","{""Q0"":""25""}"
"71512","","survey-text","13","167589","0.0-11.0","29v2vv9jdb8ybflj1l82","female","battle","","","purpose","","","{""Q0"":""How much we'll donate. And nothing personal. But my moms hospice bills are $156 a day. We're in about $30,000 so far for 6 months. I'm sorry about Jennifers lymphoma but I need hospital money too. ""}"
"1430","","survey-text","14","169020","0.0-12.0","29v2vv9jdb8ybflj1l82","female","battle","","","feedback","","","{""Q0"":""""}"
"3002","debrief.html","external-html","15","172280","0.0-13.0","29v2vv9jdb8ybflj1l82","female","battle","","","","","",""
