"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"67468","consent.html","external-html","0","67510","0.0-0.0","2rjkjggdenfokt7osn4e","female","battle","","","","","",""
"2552","","image-button-response","1","70064","0.0-1.0","2rjkjggdenfokt7osn4e","female","battle","check-1.png","1","check1","","",""
"3975","","image-button-response","2","74039","0.0-2.0","2rjkjggdenfokt7osn4e","female","battle","check-2.png","2","check2","","",""
"49837","","instructions","3","123878","0.0-3.0","2rjkjggdenfokt7osn4e","female","battle","","","","[{""page_index"":0,""viewing_time"":8922},{""page_index"":1,""viewing_time"":22258},{""page_index"":2,""viewing_time"":16729},{""page_index"":3,""viewing_time"":1927}]","",""
"99677","","html-slider-response","4","223557","0.0-4.0","2rjkjggdenfokt7osn4e","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","50",""
"112109","","survey-text","5","335667","0.0-5.0","2rjkjggdenfokt7osn4e","female","battle","","","description","","","{""Q0"":""Jennifer is in a fight for her life.  She badly needs donations for her medical treatments. ""}"
"7400","","survey-likert","6","343069","0.0-6.0-0.0","2rjkjggdenfokt7osn4e","female","battle","","","urgent","","","{""Q0"":6}"
"16855","","survey-likert","7","359924","0.0-6.0-1.0","2rjkjggdenfokt7osn4e","female","battle","","","sympathy","","","{""Q0"":5}"
"6506","","survey-text","8","366431","0.0-7.0","2rjkjggdenfokt7osn4e","female","battle","","","past-donations","","","{""Q0"":""1""}"
"4356","","survey-multi-choice","9","370789","0.0-8.0-0.0","2rjkjggdenfokt7osn4e","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"28943","","survey-multi-choice","10","399734","0.0-8.0-1.0","2rjkjggdenfokt7osn4e","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"21073","","survey-multi-choice","11","420812","0.0-9.0","2rjkjggdenfokt7osn4e","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"5688","","survey-text","12","426503","0.0-10.0","2rjkjggdenfokt7osn4e","female","battle","","","age","","","{""Q0"":""65""}"
"9194","","survey-text","13","435697","0.0-11.0","2rjkjggdenfokt7osn4e","female","battle","","","purpose","","","{""Q0"":""""}"
"9361","","survey-text","14","445059","0.0-12.0","2rjkjggdenfokt7osn4e","female","battle","","","feedback","","","{""Q0"":""All was good.""}"
"39637","debrief.html","external-html","15","484836","0.0-13.0","2rjkjggdenfokt7osn4e","female","battle","","","","","",""
