"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"105013","consent.html","external-html","0","105251","0.0-0.0","362x27k98jvtjhz0hyue","female","battle","","","","","",""
"22319","","image-button-response","1","127580","0.0-1.0","362x27k98jvtjhz0hyue","female","battle","check-1.png","0","check1","","",""
"55473","","image-button-response","2","183057","0.0-2.0","362x27k98jvtjhz0hyue","female","battle","check-2.png","2","check2","","",""
"50829","","instructions","3","233888","0.0-3.0","362x27k98jvtjhz0hyue","female","battle","","","","[{""page_index"":0,""viewing_time"":8588},{""page_index"":1,""viewing_time"":39576},{""page_index"":2,""viewing_time"":1272},{""page_index"":3,""viewing_time"":1391}]","",""
"13323","","html-slider-response","4","247218","0.0-4.0","362x27k98jvtjhz0hyue","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","25",""
"26836","","survey-text","5","274057","0.0-5.0","362x27k98jvtjhz0hyue","female","battle","","","description","","","{""Q0"":""Explain how each of the following plays a role in eating behavior: ... Participants in the second condition read an article indicating ... Answers must be presented in sentences, and sentences must be cogent enough for the student's ... The response earned point 2 because it describes the external cue of seeing friends eat,.\n""}"
"8547","","survey-likert","6","282610","0.0-6.0-0.0","362x27k98jvtjhz0hyue","female","battle","","","sympathy","","","{""Q0"":3}"
"20763","","survey-likert","7","303377","0.0-6.0-1.0","362x27k98jvtjhz0hyue","female","battle","","","urgent","","","{""Q0"":5}"
"10890","","survey-text","8","314272","0.0-7.0","362x27k98jvtjhz0hyue","female","battle","","","past-donations","","","{""Q0"":""45""}"
"3703","","survey-multi-choice","9","317985","0.0-8.0-0.0","362x27k98jvtjhz0hyue","female","battle","","","self-cancer","","","{""Q0"":""Yes""}"
"11440","","survey-multi-choice","10","329432","0.0-8.0-1.0","362x27k98jvtjhz0hyue","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"12832","","survey-multi-choice","11","342291","0.0-9.0","362x27k98jvtjhz0hyue","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"5569","","survey-text","12","347864","0.0-10.0","362x27k98jvtjhz0hyue","female","battle","","","age","","","{""Q0"":""58""}"
"22358","","survey-text","13","370225","0.0-11.0","362x27k98jvtjhz0hyue","female","battle","","","purpose","","","{""Q0"":""Colleges are dropping the SAT or ACT for admissions, they are ... Tufts University announced a three-year experiment with going test optional. ... kind of college can find a similar college is test optional and have success with ...\n""}"
"12236","","survey-text","14","382464","0.0-12.0","362x27k98jvtjhz0hyue","female","battle","","","feedback","","","{""Q0"":""good survey""}"
"65424","debrief.html","external-html","15","450132","0.0-13.0","362x27k98jvtjhz0hyue","female","battle","","","","","",""
