"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"17068","consent.html","external-html","0","17619","0.0-0.0","4ss955ve3s4f5qg1cstx","male","journey","","","","","",""
"4405","","image-button-response","1","22028","0.0-1.0","4ss955ve3s4f5qg1cstx","male","journey","check-1.png","1","check1","","",""
"7155","","image-button-response","2","29185","0.0-2.0","4ss955ve3s4f5qg1cstx","male","journey","check-2.png","3","check2","","",""
"42604","","instructions","3","71790","0.0-3.0","4ss955ve3s4f5qg1cstx","male","journey","","","","[{""page_index"":0,""viewing_time"":6268},{""page_index"":1,""viewing_time"":25588},{""page_index"":2,""viewing_time"":8144},{""page_index"":3,""viewing_time"":2603}]","",""
"58512","","html-slider-response","4","130304","0.0-4.0","4ss955ve3s4f5qg1cstx","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","36",""
"101779","","survey-text","5","232086","0.0-5.0","4ss955ve3s4f5qg1cstx","male","journey","","","description","","","{""Q0"":""if when the jason situation is good friend need to all so he decide to good for on that time. In the mean good friend in good way and good thinking and all everyone is good.""}"
"29481","","survey-likert","6","261570","0.0-6.0-0.0","4ss955ve3s4f5qg1cstx","male","journey","","","urgent","","","{""Q0"":4}"
"3721","","survey-likert","7","265294","0.0-6.0-1.0","4ss955ve3s4f5qg1cstx","male","journey","","","sympathy","","","{""Q0"":3}"
"6655","","survey-text","8","271953","0.0-7.0","4ss955ve3s4f5qg1cstx","male","journey","","","past-donations","","","{""Q0"":""400""}"
"3741","","survey-multi-choice","9","275698","0.0-8.0-0.0","4ss955ve3s4f5qg1cstx","male","journey","","","ff-cancer","","","{""Q0"":""No""}"
"4002","","survey-multi-choice","10","279704","0.0-8.0-1.0","4ss955ve3s4f5qg1cstx","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"8826","","survey-multi-choice","11","288542","0.0-9.0","4ss955ve3s4f5qg1cstx","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3807","","survey-text","12","292352","0.0-10.0","4ss955ve3s4f5qg1cstx","male","journey","","","age","","","{""Q0"":""28""}"
"7213","","survey-text","13","299566","0.0-11.0","4ss955ve3s4f5qg1cstx","male","journey","","","purpose","","","{""Q0"":""good one""}"
"4092","","survey-text","14","303660","0.0-12.0","4ss955ve3s4f5qg1cstx","male","journey","","","feedback","","","{""Q0"":""""}"
"16784","debrief.html","external-html","15","321165","0.0-13.0","4ss955ve3s4f5qg1cstx","male","journey","","","","","",""
