"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8501","consent.html","external-html","0","8688","0.0-0.0","58ezm9xsnjz9qor3n4ep","female","journey","","","","","",""
"1614","","image-button-response","1","10308","0.0-1.0","58ezm9xsnjz9qor3n4ep","female","journey","check-1.png","2","check1","","",""
"6341","","image-button-response","2","16655","0.0-2.0","58ezm9xsnjz9qor3n4ep","female","journey","check-2.png","3","check2","","",""
"8151","","instructions","3","24808","0.0-3.0","58ezm9xsnjz9qor3n4ep","female","journey","","","","[{""page_index"":0,""viewing_time"":2179},{""page_index"":1,""viewing_time"":1819},{""page_index"":2,""viewing_time"":2534},{""page_index"":3,""viewing_time"":1617}]","",""
"9369","","html-slider-response","4","34183","0.0-4.0","58ezm9xsnjz9qor3n4ep","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","39",""
"35713","","survey-text","5","69904","0.0-5.0","58ezm9xsnjz9qor3n4ep","female","journey","","","description","","","{""Q0"":""good friend in this situation ""}"
"4125","","survey-likert","6","74033","0.0-6.0-0.0","58ezm9xsnjz9qor3n4ep","female","journey","","","sympathy","","","{""Q0"":5}"
"9438","","survey-likert","7","83477","0.0-6.0-1.0","58ezm9xsnjz9qor3n4ep","female","journey","","","urgent","","","{""Q0"":4}"
"11459","","survey-text","8","94940","0.0-7.0","58ezm9xsnjz9qor3n4ep","female","journey","","","past-donations","","","{""Q0"":""5""}"
"6038","","survey-multi-choice","9","100984","0.0-8.0-0.0","58ezm9xsnjz9qor3n4ep","female","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"5266","","survey-multi-choice","10","106255","0.0-8.0-1.0","58ezm9xsnjz9qor3n4ep","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"15233","","survey-multi-choice","11","121512","0.0-9.0","58ezm9xsnjz9qor3n4ep","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"8176","","survey-text","12","129694","0.0-10.0","58ezm9xsnjz9qor3n4ep","female","journey","","","age","","","{""Q0"":""23""}"
"2806","","survey-text","13","132505","0.0-11.0","58ezm9xsnjz9qor3n4ep","female","journey","","","purpose","","","{""Q0"":""""}"
"1984","","survey-text","14","134493","0.0-12.0","58ezm9xsnjz9qor3n4ep","female","journey","","","feedback","","","{""Q0"":""""}"
"16492","debrief.html","external-html","15","151188","0.0-13.0","58ezm9xsnjz9qor3n4ep","female","journey","","","","","",""
