"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"27120","consent.html","external-html","0","27235","0.0-0.0","6lweaddws0fncagzcufy","female","literal","","","","","",""
"2223","","image-button-response","1","29463","0.0-1.0","6lweaddws0fncagzcufy","female","literal","check-1.png","1","check1","","",""
"5732","","image-button-response","2","35199","0.0-2.0","6lweaddws0fncagzcufy","female","literal","check-2.png","2","check2","","",""
"26034","","instructions","3","61235","0.0-3.0","6lweaddws0fncagzcufy","female","literal","","","","[{""page_index"":0,""viewing_time"":5438},{""page_index"":1,""viewing_time"":14236},{""page_index"":2,""viewing_time"":4989},{""page_index"":3,""viewing_time"":1370}]","",""
"39709","","html-slider-response","4","100949","0.0-4.0","6lweaddws0fncagzcufy","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","50",""
"24979","","survey-text","5","125931","0.0-5.0","6lweaddws0fncagzcufy","female","literal","","","description","","","{""Q0"":""She is dealing with cancer, and needs help with the costs associated with her treatment.""}"
"6319","","survey-likert","6","132255","0.0-6.0-0.0","6lweaddws0fncagzcufy","female","literal","","","urgent","","","{""Q0"":5}"
"2975","","survey-likert","7","135234","0.0-6.0-1.0","6lweaddws0fncagzcufy","female","literal","","","sympathy","","","{""Q0"":5}"
"3163","","survey-text","8","138400","0.0-7.0","6lweaddws0fncagzcufy","female","literal","","","past-donations","","","{""Q0"":""1""}"
"2734","","survey-multi-choice","9","141140","0.0-8.0-0.0","6lweaddws0fncagzcufy","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"2607","","survey-multi-choice","10","143752","0.0-8.0-1.0","6lweaddws0fncagzcufy","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"16490","","survey-multi-choice","11","160262","0.0-9.0","6lweaddws0fncagzcufy","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3498","","survey-text","12","163763","0.0-10.0","6lweaddws0fncagzcufy","female","literal","","","age","","","{""Q0"":""24""}"
"40998","","survey-text","13","204763","0.0-11.0","6lweaddws0fncagzcufy","female","literal","","","purpose","","","{""Q0"":""The effectiveness of the writing to persuade someone to donate money. ""}"
"1941","","survey-text","14","206707","0.0-12.0","6lweaddws0fncagzcufy","female","literal","","","feedback","","","{""Q0"":""""}"
"28037","debrief.html","external-html","15","235011","0.0-13.0","6lweaddws0fncagzcufy","female","literal","","","","","",""
