"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"4695","consent.html","external-html","0","4784","0.0-0.0","6wmqlc4z3za29olge5ox","male","battle","","","","","",""
"7911","","image-button-response","1","12698","0.0-1.0","6wmqlc4z3za29olge5ox","male","battle","check-1.png","1","check1","","",""
"952","","image-button-response","2","13651","0.0-2.0","6wmqlc4z3za29olge5ox","male","battle","check-2.png","2","check2","","",""
"14626","","instructions","3","28278","0.0-3.0","6wmqlc4z3za29olge5ox","male","battle","","","","[{""page_index"":0,""viewing_time"":1934},{""page_index"":1,""viewing_time"":8313},{""page_index"":2,""viewing_time"":2370},{""page_index"":3,""viewing_time"":2008}]","",""
"22267","","html-slider-response","4","50546","0.0-4.0","6wmqlc4z3za29olge5ox","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","15",""
"126995","","survey-text","5","177543","0.0-5.0","6wmqlc4z3za29olge5ox","male","battle","","","description","","","{""Q0"":""Jason is a great guy who was stricken with lymphoma. He is putting his all in to batter this disease but still needs help.""}"
"10342","","survey-likert","6","187886","0.0-6.0-0.0","6wmqlc4z3za29olge5ox","male","battle","","","urgent","","","{""Q0"":5}"
"6943","","survey-likert","7","194830","0.0-6.0-1.0","6wmqlc4z3za29olge5ox","male","battle","","","sympathy","","","{""Q0"":4}"
"8599","","survey-text","8","203430","0.0-7.0","6wmqlc4z3za29olge5ox","male","battle","","","past-donations","","","{""Q0"":""2""}"
"3388","","survey-multi-choice","9","206820","0.0-8.0-0.0","6wmqlc4z3za29olge5ox","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"1893","","survey-multi-choice","10","208714","0.0-8.0-1.0","6wmqlc4z3za29olge5ox","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"21216","","survey-multi-choice","11","229935","0.0-9.0","6wmqlc4z3za29olge5ox","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4695","","survey-text","12","234630","0.0-10.0","6wmqlc4z3za29olge5ox","male","battle","","","age","","","{""Q0"":""28""}"
"35045","","survey-text","13","269676","0.0-11.0","6wmqlc4z3za29olge5ox","male","battle","","","purpose","","","{""Q0"":""""}"
"1061","","survey-text","14","270738","0.0-12.0","6wmqlc4z3za29olge5ox","male","battle","","","feedback","","","{""Q0"":""""}"
"5057","debrief.html","external-html","15","276054","0.0-13.0","6wmqlc4z3za29olge5ox","male","battle","","","","","",""
