"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"19136","consent.html","external-html","0","19390","0.0-0.0","7mzl681wpqprm81pbt8f","female","literal","","","","","",""
"35692","","image-button-response","1","55091","0.0-1.0","7mzl681wpqprm81pbt8f","female","literal","check-1.png","1","check1","","",""
"11024","","image-button-response","2","66121","0.0-2.0","7mzl681wpqprm81pbt8f","female","literal","check-2.png","2","check2","","",""
"22969","","instructions","3","89092","0.0-3.0","7mzl681wpqprm81pbt8f","female","literal","","","","[{""page_index"":0,""viewing_time"":8426},{""page_index"":1,""viewing_time"":7939},{""page_index"":2,""viewing_time"":3779},{""page_index"":3,""viewing_time"":2821}]","",""
"24270","","html-slider-response","4","113368","0.0-4.0","7mzl681wpqprm81pbt8f","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","37",""
"243872","","survey-text","5","357243","0.0-5.0","7mzl681wpqprm81pbt8f","female","literal","","","description","","","{""Q0"":""In the most embarrassing situation""}"
"12224","","survey-likert","6","369472","0.0-6.0-0.0","7mzl681wpqprm81pbt8f","female","literal","","","urgent","","","{""Q0"":4}"
"9358","","survey-likert","7","378836","0.0-6.0-1.0","7mzl681wpqprm81pbt8f","female","literal","","","sympathy","","","{""Q0"":5}"
"50675","","survey-text","8","429515","0.0-7.0","7mzl681wpqprm81pbt8f","female","literal","","","past-donations","","","{""Q0"":""2""}"
"12477","","survey-multi-choice","9","442004","0.0-8.0-0.0","7mzl681wpqprm81pbt8f","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"9076","","survey-multi-choice","10","451089","0.0-8.0-1.0","7mzl681wpqprm81pbt8f","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"28879","","survey-multi-choice","11","480009","0.0-9.0","7mzl681wpqprm81pbt8f","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"24939","","survey-text","12","504952","0.0-10.0","7mzl681wpqprm81pbt8f","female","literal","","","age","","","{""Q0"":""30""}"
"57841","","survey-text","13","562797","0.0-11.0","7mzl681wpqprm81pbt8f","female","literal","","","purpose","","","{""Q0"":""cancer""}"
"33775","","survey-text","14","596575","0.0-12.0","7mzl681wpqprm81pbt8f","female","literal","","","feedback","","","{""Q0"":""no""}"
"75623","debrief.html","external-html","15","672988","0.0-13.0","7mzl681wpqprm81pbt8f","female","literal","","","","","",""
