"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9467","consent.html","external-html","0","9581","0.0-0.0","7o8ua3enxbxnvbmosvdf","female","literal","","","","","",""
"68069","","image-button-response","1","77655","0.0-1.0","7o8ua3enxbxnvbmosvdf","female","literal","check-1.png","1","check1","","",""
"9317","","image-button-response","2","86975","0.0-2.0","7o8ua3enxbxnvbmosvdf","female","literal","check-2.png","2","check2","","",""
"28638","","instructions","3","115614","0.0-3.0","7o8ua3enxbxnvbmosvdf","female","literal","","","","[{""page_index"":0,""viewing_time"":4318},{""page_index"":1,""viewing_time"":13711},{""page_index"":2,""viewing_time"":8897},{""page_index"":3,""viewing_time"":1711}]","",""
"28636","","html-slider-response","4","144252","0.0-4.0","7o8ua3enxbxnvbmosvdf","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","43",""
"144715","","survey-text","5","288969","0.0-5.0","7o8ua3enxbxnvbmosvdf","female","literal","","","description","","","{""Q0"":""Cox and Aniston have appeared to maintain a close friendship in the nearly 16 years since Friends ended and are frequently spotted hanging out together. According to Cox, Aniston is even responsible for her posting one of her best Friends-themed Instagrams: the one where Monica visits her old apartment building""}"
"6107","","survey-likert","6","295079","0.0-6.0-0.0","7o8ua3enxbxnvbmosvdf","female","literal","","","sympathy","","","{""Q0"":5}"
"14400","","survey-likert","7","309482","0.0-6.0-1.0","7o8ua3enxbxnvbmosvdf","female","literal","","","urgent","","","{""Q0"":5}"
"10484","","survey-text","8","319967","0.0-7.0","7o8ua3enxbxnvbmosvdf","female","literal","","","past-donations","","","{""Q0"":""10""}"
"6017","","survey-multi-choice","9","325988","0.0-8.0-0.0","7o8ua3enxbxnvbmosvdf","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"4237","","survey-multi-choice","10","330227","0.0-8.0-1.0","7o8ua3enxbxnvbmosvdf","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"14978","","survey-multi-choice","11","345218","0.0-9.0","7o8ua3enxbxnvbmosvdf","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"4569","","survey-text","12","349789","0.0-10.0","7o8ua3enxbxnvbmosvdf","female","literal","","","age","","","{""Q0"":""48""}"
"4857","","survey-text","13","354647","0.0-11.0","7o8ua3enxbxnvbmosvdf","female","literal","","","purpose","","","{""Q0"":""""}"
"9081","","survey-text","14","363729","0.0-12.0","7o8ua3enxbxnvbmosvdf","female","literal","","","feedback","","","{""Q0"":""Good""}"
"5542","debrief.html","external-html","15","369739","0.0-13.0","7o8ua3enxbxnvbmosvdf","female","literal","","","","","",""
