"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"22413","consent.html","external-html","0","22493","0.0-0.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","","","",""
"1787","","image-button-response","1","24290","0.0-1.0","8t0qko2ry2eo3dr8cmzn","female","battle","check-1.png","1","check1","","",""
"2656","","image-button-response","2","26953","0.0-2.0","8t0qko2ry2eo3dr8cmzn","female","battle","check-2.png","2","check2","","",""
"22934","","instructions","3","49890","0.0-3.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","","[{""page_index"":0,""viewing_time"":4767},{""page_index"":1,""viewing_time"":12901},{""page_index"":2,""viewing_time"":4177},{""page_index"":3,""viewing_time"":1082}]","",""
"34148","","html-slider-response","4","84048","0.0-4.0","8t0qko2ry2eo3dr8cmzn","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","20",""
"113689","","survey-text","5","197746","0.0-5.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","description","","","{""Q0"":""Jennifer was undergoing thyroid surgery when it was discovered that she has Lymphoma (cancer). She needs money to help pay for chemo and other treatments, and perhaps other expenses.""}"
"6153","","survey-likert","6","203910","0.0-6.0-0.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","urgent","","","{""Q0"":4}"
"3088","","survey-likert","7","207005","0.0-6.0-1.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","sympathy","","","{""Q0"":6}"
"4088","","survey-text","8","211100","0.0-7.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","past-donations","","","{""Q0"":""3""}"
"2128","","survey-multi-choice","9","213239","0.0-8.0-0.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","self-cancer","","","{""Q0"":""Yes""}"
"2790","","survey-multi-choice","10","216037","0.0-8.0-1.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"12856","","survey-multi-choice","11","228921","0.0-9.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3717","","survey-text","12","232646","0.0-10.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","age","","","{""Q0"":""41""}"
"36106","","survey-text","13","268760","0.0-11.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","purpose","","","{""Q0"":""I am not fully certain but I think might have something to do with people's willingness to donate to causes or individuals that they personally relate to on some level.""}"
"6008","","survey-text","14","274775","0.0-12.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","feedback","","","{""Q0"":""Thank you!""}"
"17270","debrief.html","external-html","15","292227","0.0-13.0","8t0qko2ry2eo3dr8cmzn","female","battle","","","","","",""
