"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3444","consent.html","external-html","0","3633","0.0-0.0","94wc11u89g48l8nvjt2x","female","journey","","","","","",""
"2229","","image-button-response","1","5864","0.0-1.0","94wc11u89g48l8nvjt2x","female","journey","check-1.png","1","check1","","",""
"2605","","image-button-response","2","8474","0.0-2.0","94wc11u89g48l8nvjt2x","female","journey","check-2.png","2","check2","","",""
"38844","","instructions","3","47322","0.0-3.0","94wc11u89g48l8nvjt2x","female","journey","","","","[{""page_index"":0,""viewing_time"":8078},{""page_index"":1,""viewing_time"":20151},{""page_index"":2,""viewing_time"":8572},{""page_index"":3,""viewing_time"":2043}]","",""
"44985","","html-slider-response","4","92316","0.0-4.0","94wc11u89g48l8nvjt2x","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","30",""
"37679","","survey-text","5","130000","0.0-5.0","94wc11u89g48l8nvjt2x","female","journey","","","description","","","{""Q0"":""Jennifer is a girl who is being treated for Lymphoma, and could use some help financially.""}"
"6081","","survey-likert","6","136083","0.0-6.0-0.0","94wc11u89g48l8nvjt2x","female","journey","","","urgent","","","{""Q0"":6}"
"3408","","survey-likert","7","139495","0.0-6.0-1.0","94wc11u89g48l8nvjt2x","female","journey","","","sympathy","","","{""Q0"":6}"
"4057","","survey-text","8","143554","0.0-7.0","94wc11u89g48l8nvjt2x","female","journey","","","past-donations","","","{""Q0"":""0""}"
"5502","","survey-multi-choice","9","149076","0.0-8.0-0.0","94wc11u89g48l8nvjt2x","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"3507","","survey-multi-choice","10","152586","0.0-8.0-1.0","94wc11u89g48l8nvjt2x","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"16712","","survey-multi-choice","11","169307","0.0-9.0","94wc11u89g48l8nvjt2x","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3936","","survey-text","12","173245","0.0-10.0","94wc11u89g48l8nvjt2x","female","journey","","","age","","","{""Q0"":""39""}"
"2718","","survey-text","13","175965","0.0-11.0","94wc11u89g48l8nvjt2x","female","journey","","","purpose","","","{""Q0"":""""}"
"1458","","survey-text","14","177426","0.0-12.0","94wc11u89g48l8nvjt2x","female","journey","","","feedback","","","{""Q0"":""""}"
"3433","debrief.html","external-html","15","184200","0.0-13.0","94wc11u89g48l8nvjt2x","female","journey","","","","","",""
