"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"18452","consent.html","external-html","0","18562","0.0-0.0","9xvemsglr04rd22j13u0","male","journey","","","","","",""
"2628","","image-button-response","1","21194","0.0-1.0","9xvemsglr04rd22j13u0","male","journey","check-1.png","1","check1","","",""
"2700","","image-button-response","2","23897","0.0-2.0","9xvemsglr04rd22j13u0","male","journey","check-2.png","2","check2","","",""
"49915","","instructions","3","73813","0.0-3.0","9xvemsglr04rd22j13u0","male","journey","","","","[{""page_index"":0,""viewing_time"":11417},{""page_index"":1,""viewing_time"":20746},{""page_index"":2,""viewing_time"":15619},{""page_index"":3,""viewing_time"":2132}]","",""
"71594","","html-slider-response","4","145410","0.0-4.0","9xvemsglr04rd22j13u0","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","20",""
"53589","","survey-text","5","199000","0.0-5.0","9xvemsglr04rd22j13u0","male","journey","","","description","","","{""Q0"":""Jason has cancer, but he should have a good chance of survival. His cancer is stage II at this point, and he appears to have a good support system in place.""}"
"9751","","survey-likert","6","208755","0.0-6.0-0.0","9xvemsglr04rd22j13u0","male","journey","","","urgent","","","{""Q0"":2}"
"5627","","survey-likert","7","214385","0.0-6.0-1.0","9xvemsglr04rd22j13u0","male","journey","","","sympathy","","","{""Q0"":5}"
"4626","","survey-text","8","219015","0.0-7.0","9xvemsglr04rd22j13u0","male","journey","","","past-donations","","","{""Q0"":""12""}"
"2160","","survey-multi-choice","9","221179","0.0-8.0-0.0","9xvemsglr04rd22j13u0","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"2666","","survey-multi-choice","10","223849","0.0-8.0-1.0","9xvemsglr04rd22j13u0","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"8377","","survey-multi-choice","11","232237","0.0-9.0","9xvemsglr04rd22j13u0","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3742","","survey-text","12","235982","0.0-10.0","9xvemsglr04rd22j13u0","male","journey","","","age","","","{""Q0"":""49""}"
"21206","","survey-text","13","257190","0.0-11.0","9xvemsglr04rd22j13u0","male","journey","","","purpose","","","{""Q0"":""I think you are testing empathy for another's situation.""}"
"3766","","survey-text","14","260958","0.0-12.0","9xvemsglr04rd22j13u0","male","journey","","","feedback","","","{""Q0"":""Thanks!""}"
"35528","debrief.html","external-html","15","296779","0.0-13.0","9xvemsglr04rd22j13u0","male","journey","","","","","",""
