"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5977","consent.html","external-html","0","6129","0.0-0.0","a1xswpf3galeetsxcm6c","female","battle","","","","","",""
"2514","","image-button-response","1","8650","0.0-1.0","a1xswpf3galeetsxcm6c","female","battle","check-1.png","1","check1","","",""
"3187","","image-button-response","2","11843","0.0-2.0","a1xswpf3galeetsxcm6c","female","battle","check-2.png","2","check2","","",""
"32420","","instructions","3","44266","0.0-3.0","a1xswpf3galeetsxcm6c","female","battle","","","","[{""page_index"":0,""viewing_time"":5854},{""page_index"":1,""viewing_time"":16520},{""page_index"":2,""viewing_time"":8175},{""page_index"":3,""viewing_time"":1871}]","",""
"46248","","html-slider-response","4","90521","0.0-4.0","a1xswpf3galeetsxcm6c","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","0",""
"221793","","survey-text","5","312319","0.0-5.0","a1xswpf3galeetsxcm6c","female","battle","","","description","","","{""Q0"":""Jennifer has Lymphoma and needs chemo to try to combat the disease. She will need to go for several rounds of chemo. Of course, the chemo may kill her or may not work but those are odds she must choose herself. Now, as anyone who has had a family member ill (and/or die of) cancer/Leukemia/Lymphoma, the hospital costs are insane (it took us years to pay off my now deceased mother's bills) so if you have extra money to help Jennifer, please do.""}"
"8255","","survey-likert","6","320579","0.0-6.0-0.0","a1xswpf3galeetsxcm6c","female","battle","","","sympathy","","","{""Q0"":3}"
"4865","","survey-likert","7","325445","0.0-6.0-1.0","a1xswpf3galeetsxcm6c","female","battle","","","urgent","","","{""Q0"":2}"
"5588","","survey-text","8","331035","0.0-7.0","a1xswpf3galeetsxcm6c","female","battle","","","past-donations","","","{""Q0"":""0""}"
"2897","","survey-multi-choice","9","333937","0.0-8.0-0.0","a1xswpf3galeetsxcm6c","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2749","","survey-multi-choice","10","336690","0.0-8.0-1.0","a1xswpf3galeetsxcm6c","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"16296","","survey-multi-choice","11","352994","0.0-9.0","a1xswpf3galeetsxcm6c","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"4812","","survey-text","12","357808","0.0-10.0","a1xswpf3galeetsxcm6c","female","battle","","","age","","","{""Q0"":""39""}"
"13886","","survey-text","13","371696","0.0-11.0","a1xswpf3galeetsxcm6c","female","battle","","","purpose","","","{""Q0"":""Not sure.""}"
"240591","","survey-text","14","612289","0.0-12.0","a1xswpf3galeetsxcm6c","female","battle","","","feedback","","","{""Q0"":""Yes. I just wanted to comment that the reason I chose not to donate to Jennifer's campaign was due to the fact that I am paying off hospital bills of my own (non-cancer related) and since my income is already low (combined with being furloughed from work) I would really like that bonus. Jennifer's bills are going to be in the hundreds of thousands of dollars. Ten or fifty bucks would mean a lot less for her situation than it would for mine. In my situation it would really help me but for her bills it's just a drop in the bucket.""}"
"13120","debrief.html","external-html","15","625689","0.0-13.0","a1xswpf3galeetsxcm6c","female","battle","","","","","",""
