"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"66037","consent.html","external-html","0","66053","0.0-0.0","czz9a1jezn9n4zrb0b15","female","battle","","","","","",""
"2067","","image-button-response","1","68125","0.0-1.0","czz9a1jezn9n4zrb0b15","female","battle","check-1.png","1","check1","","",""
"1349","","image-button-response","2","69475","0.0-2.0","czz9a1jezn9n4zrb0b15","female","battle","check-2.png","2","check2","","",""
"6600","","instructions","3","76076","0.0-3.0","czz9a1jezn9n4zrb0b15","female","battle","","","","[{""page_index"":0,""viewing_time"":1779},{""page_index"":1,""viewing_time"":1584},{""page_index"":2,""viewing_time"":1756},{""page_index"":3,""viewing_time"":1480}]","",""
"10087","","html-slider-response","4","86165","0.0-4.0","czz9a1jezn9n4zrb0b15","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","25",""
"1437","","survey-text","5","87604","0.0-5.0","czz9a1jezn9n4zrb0b15","female","battle","","","description","","","{""Q0"":""""}"
"3718","","survey-likert","6","91325","0.0-6.0-0.0","czz9a1jezn9n4zrb0b15","female","battle","","","urgent","","","{""Q0"":2}"
"2698","","survey-likert","7","94024","0.0-6.0-1.0","czz9a1jezn9n4zrb0b15","female","battle","","","sympathy","","","{""Q0"":2}"
"9749","","survey-text","8","103774","0.0-7.0","czz9a1jezn9n4zrb0b15","female","battle","","","past-donations","","","{""Q0"":""5""}"
"5028","","survey-multi-choice","9","108804","0.0-8.0-0.0","czz9a1jezn9n4zrb0b15","female","battle","","","ff-cancer","","","{""Q0"":""No""}"
"3252","","survey-multi-choice","10","112059","0.0-8.0-1.0","czz9a1jezn9n4zrb0b15","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"19487","","survey-multi-choice","11","131551","0.0-9.0","czz9a1jezn9n4zrb0b15","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5658","","survey-text","12","137210","0.0-10.0","czz9a1jezn9n4zrb0b15","female","battle","","","age","","","{""Q0"":""27""}"
"2304","","survey-text","13","139515","0.0-11.0","czz9a1jezn9n4zrb0b15","female","battle","","","purpose","","","{""Q0"":""""}"
"1209","","survey-text","14","140725","0.0-12.0","czz9a1jezn9n4zrb0b15","female","battle","","","feedback","","","{""Q0"":""""}"
"5785","debrief.html","external-html","15","146517","0.0-13.0","czz9a1jezn9n4zrb0b15","female","battle","","","","","",""
