"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"12427","consent.html","external-html","0","13031","0.0-0.0","eajo9ah8796al0t0pwd8","female","journey","","","","","",""
"5891","","image-button-response","1","18967","0.0-1.0","eajo9ah8796al0t0pwd8","female","journey","check-1.png","1","check1","","",""
"6156","","image-button-response","2","25127","0.0-2.0","eajo9ah8796al0t0pwd8","female","journey","check-2.png","2","check2","","",""
"51598","","instructions","3","76727","0.0-3.0","eajo9ah8796al0t0pwd8","female","journey","","","","[{""page_index"":0,""viewing_time"":11223},{""page_index"":1,""viewing_time"":22179},{""page_index"":2,""viewing_time"":16376},{""page_index"":3,""viewing_time"":1818}]","",""
"94550","","html-slider-response","4","171282","0.0-4.0","eajo9ah8796al0t0pwd8","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","50",""
"65451","","survey-text","5","236737","0.0-5.0","eajo9ah8796al0t0pwd8","female","journey","","","description","","","{""Q0"":""bad situation for my friend.so i am helping there""}"
"9205","","survey-likert","6","245947","0.0-6.0-0.0","eajo9ah8796al0t0pwd8","female","journey","","","urgent","","","{""Q0"":5}"
"10227","","survey-likert","7","256177","0.0-6.0-1.0","eajo9ah8796al0t0pwd8","female","journey","","","sympathy","","","{""Q0"":4}"
"10167","","survey-text","8","266349","0.0-7.0","eajo9ah8796al0t0pwd8","female","journey","","","past-donations","","","{""Q0"":""5""}"
"10112","","survey-multi-choice","9","276471","0.0-8.0-0.0","eajo9ah8796al0t0pwd8","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"27825","","survey-multi-choice","10","304301","0.0-8.0-1.0","eajo9ah8796al0t0pwd8","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"24677","","survey-multi-choice","11","328991","0.0-9.0","eajo9ah8796al0t0pwd8","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5661","","survey-text","12","334656","0.0-10.0","eajo9ah8796al0t0pwd8","female","journey","","","age","","","{""Q0"":""54""}"
"20457","","survey-text","13","355117","0.0-11.0","eajo9ah8796al0t0pwd8","female","journey","","","purpose","","","{""Q0"":""nothing""}"
"9196","","survey-text","14","364316","0.0-12.0","eajo9ah8796al0t0pwd8","female","journey","","","feedback","","","{""Q0"":""good""}"
"6616","debrief.html","external-html","15","371342","0.0-13.0","eajo9ah8796al0t0pwd8","female","journey","","","","","",""
