"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13068","consent.html","external-html","0","13150","0.0-0.0","f08d4a8xf52h91mxff4u","female","literal","","","","","",""
"2458","","image-button-response","1","15611","0.0-1.0","f08d4a8xf52h91mxff4u","female","literal","check-1.png","1","check1","","",""
"4256","","image-button-response","2","19869","0.0-2.0","f08d4a8xf52h91mxff4u","female","literal","check-2.png","2","check2","","",""
"38551","","instructions","3","58420","0.0-3.0","f08d4a8xf52h91mxff4u","female","literal","","","","[{""page_index"":0,""viewing_time"":7748},{""page_index"":1,""viewing_time"":21583},{""page_index"":2,""viewing_time"":7985},{""page_index"":3,""viewing_time"":1235}]","",""
"56576","","html-slider-response","4","115000","0.0-4.0","f08d4a8xf52h91mxff4u","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","50",""
"36410","","survey-text","5","151413","0.0-5.0","f08d4a8xf52h91mxff4u","female","literal","","","description","","","{""Q0"":""She's battling lymphoma.  She's going through chemo and radiation and needs some financial help along the way. ""}"
"6037","","survey-likert","6","157451","0.0-6.0-0.0","f08d4a8xf52h91mxff4u","female","literal","","","urgent","","","{""Q0"":6}"
"3166","","survey-likert","7","160619","0.0-6.0-1.0","f08d4a8xf52h91mxff4u","female","literal","","","sympathy","","","{""Q0"":6}"
"4137","","survey-text","8","164757","0.0-7.0","f08d4a8xf52h91mxff4u","female","literal","","","past-donations","","","{""Q0"":""12""}"
"2410","","survey-multi-choice","9","167169","0.0-8.0-0.0","f08d4a8xf52h91mxff4u","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"4499","","survey-multi-choice","10","171671","0.0-8.0-1.0","f08d4a8xf52h91mxff4u","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"12791","","survey-multi-choice","11","184466","0.0-9.0","f08d4a8xf52h91mxff4u","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"4885","","survey-text","12","189352","0.0-10.0","f08d4a8xf52h91mxff4u","female","literal","","","age","","","{""Q0"":""47""}"
"12089","","survey-text","13","201442","0.0-11.0","f08d4a8xf52h91mxff4u","female","literal","","","purpose","","","{""Q0"":""""}"
"2164","","survey-text","14","203606","0.0-12.0","f08d4a8xf52h91mxff4u","female","literal","","","feedback","","","{""Q0"":""""}"
"30905","debrief.html","external-html","15","234714","0.0-13.0","f08d4a8xf52h91mxff4u","female","literal","","","","","",""
