"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10109","consent.html","external-html","0","10219","0.0-0.0","g2llxr7qw1c2brlshgxt","male","journey","","","","","",""
"2180","","image-button-response","1","12401","0.0-1.0","g2llxr7qw1c2brlshgxt","male","journey","check-1.png","1","check1","","",""
"3663","","image-button-response","2","16065","0.0-2.0","g2llxr7qw1c2brlshgxt","male","journey","check-2.png","2","check2","","",""
"33370","","instructions","3","49435","0.0-3.0","g2llxr7qw1c2brlshgxt","male","journey","","","","[{""page_index"":0,""viewing_time"":4144},{""page_index"":1,""viewing_time"":19681},{""page_index"":2,""viewing_time"":8577},{""page_index"":3,""viewing_time"":967}]","",""
"46786","","html-slider-response","4","96222","0.0-4.0","g2llxr7qw1c2brlshgxt","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","0",""
"97430","","survey-text","5","193653","0.0-5.0","g2llxr7qw1c2brlshgxt","male","journey","","","description","","","{""Q0"":""Jason has cancer and is in need of chemotherapy treatment for the next couple of months. He is need of financial support to help cover the costs of his medical bills. ""}"
"5632","","survey-likert","6","199286","0.0-6.0-0.0","g2llxr7qw1c2brlshgxt","male","journey","","","urgent","","","{""Q0"":6}"
"3757","","survey-likert","7","203046","0.0-6.0-1.0","g2llxr7qw1c2brlshgxt","male","journey","","","sympathy","","","{""Q0"":6}"
"4094","","survey-text","8","207142","0.0-7.0","g2llxr7qw1c2brlshgxt","male","journey","","","past-donations","","","{""Q0"":""1""}"
"2958","","survey-multi-choice","9","210102","0.0-8.0-0.0","g2llxr7qw1c2brlshgxt","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"1853","","survey-multi-choice","10","211958","0.0-8.0-1.0","g2llxr7qw1c2brlshgxt","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"9907","","survey-multi-choice","11","221871","0.0-9.0","g2llxr7qw1c2brlshgxt","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3437","","survey-text","12","225311","0.0-10.0","g2llxr7qw1c2brlshgxt","male","journey","","","age","","","{""Q0"":""24""}"
"3519","","survey-text","13","228831","0.0-11.0","g2llxr7qw1c2brlshgxt","male","journey","","","purpose","","","{""Q0"":""""}"
"1271","","survey-text","14","230103","0.0-12.0","g2llxr7qw1c2brlshgxt","male","journey","","","feedback","","","{""Q0"":""""}"
"6601","debrief.html","external-html","15","237018","0.0-13.0","g2llxr7qw1c2brlshgxt","male","journey","","","","","",""
