"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"23881","consent.html","external-html","0","24230","0.0-0.0","hdx5vsdgjano7s6fab9d","female","journey","","","","","",""
"6419","","image-button-response","1","30654","0.0-1.0","hdx5vsdgjano7s6fab9d","female","journey","check-1.png","1","check1","","",""
"5607","","image-button-response","2","36264","0.0-2.0","hdx5vsdgjano7s6fab9d","female","journey","check-2.png","2","check2","","",""
"25319","","instructions","3","61584","0.0-3.0","hdx5vsdgjano7s6fab9d","female","journey","","","","[{""page_index"":0,""viewing_time"":12453},{""page_index"":1,""viewing_time"":8480},{""page_index"":2,""viewing_time"":2699},{""page_index"":3,""viewing_time"":1686}]","",""
"16699","","html-slider-response","4","78287","0.0-4.0","hdx5vsdgjano7s6fab9d","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","50",""
"41471","","survey-text","5","119760","0.0-5.0","hdx5vsdgjano7s6fab9d","female","journey","","","description","","","{""Q0"":""so confident to continue ""}"
"10451","","survey-likert","6","130214","0.0-6.0-0.0","hdx5vsdgjano7s6fab9d","female","journey","","","urgent","","","{""Q0"":4}"
"2863","","survey-likert","7","133080","0.0-6.0-1.0","hdx5vsdgjano7s6fab9d","female","journey","","","sympathy","","","{""Q0"":3}"
"8167","","survey-text","8","141249","0.0-7.0","hdx5vsdgjano7s6fab9d","female","journey","","","past-donations","","","{""Q0"":""1""}"
"4349","","survey-multi-choice","9","145603","0.0-8.0-0.0","hdx5vsdgjano7s6fab9d","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"5309","","survey-multi-choice","10","150916","0.0-8.0-1.0","hdx5vsdgjano7s6fab9d","female","journey","","","ff-cancer","","","{""Q0"":""No""}"
"13106","","survey-multi-choice","11","164094","0.0-9.0","hdx5vsdgjano7s6fab9d","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"5101","","survey-text","12","169199","0.0-10.0","hdx5vsdgjano7s6fab9d","female","journey","","","age","","","{""Q0"":""45""}"
"5474","","survey-text","13","174675","0.0-11.0","hdx5vsdgjano7s6fab9d","female","journey","","","purpose","","","{""Q0"":""""}"
"2287","","survey-text","14","176964","0.0-12.0","hdx5vsdgjano7s6fab9d","female","journey","","","feedback","","","{""Q0"":""""}"
"13244","debrief.html","external-html","15","191192","0.0-13.0","hdx5vsdgjano7s6fab9d","female","journey","","","","","",""
