"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"20289","consent.html","external-html","0","20381","0.0-0.0","lw0n5s4zt5c38kllr6rx","female","literal","","","","","",""
"57791","","image-button-response","1","78174","0.0-1.0","lw0n5s4zt5c38kllr6rx","female","literal","check-1.png","1","check1","","",""
"6273","","image-button-response","2","84447","0.0-2.0","lw0n5s4zt5c38kllr6rx","female","literal","check-2.png","2","check2","","",""
"121836","","instructions","3","206283","0.0-3.0","lw0n5s4zt5c38kllr6rx","female","literal","","","","[{""page_index"":0,""viewing_time"":99402},{""page_index"":1,""viewing_time"":18469},{""page_index"":2,""viewing_time"":3042},{""page_index"":3,""viewing_time"":922}]","",""
"16985","","html-slider-response","4","223269","0.0-4.0","lw0n5s4zt5c38kllr6rx","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","0",""
"18938","","survey-text","5","242207","0.0-5.0","lw0n5s4zt5c38kllr6rx","female","literal","","","description","","","{""Q0"":""unlucky person suffering from cancer""}"
"3857","","survey-likert","6","246065","0.0-6.0-0.0","lw0n5s4zt5c38kllr6rx","female","literal","","","sympathy","","","{""Q0"":5}"
"2401","","survey-likert","7","248467","0.0-6.0-1.0","lw0n5s4zt5c38kllr6rx","female","literal","","","urgent","","","{""Q0"":5}"
"2047","","survey-text","8","250515","0.0-7.0","lw0n5s4zt5c38kllr6rx","female","literal","","","past-donations","","","{""Q0"":""0""}"
"1798","","survey-multi-choice","9","252319","0.0-8.0-0.0","lw0n5s4zt5c38kllr6rx","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"1297","","survey-multi-choice","10","253618","0.0-8.0-1.0","lw0n5s4zt5c38kllr6rx","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"5667","","survey-multi-choice","11","259290","0.0-9.0","lw0n5s4zt5c38kllr6rx","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"2844","","survey-text","12","262135","0.0-10.0","lw0n5s4zt5c38kllr6rx","female","literal","","","age","","","{""Q0"":""30""}"
"1594","","survey-text","13","263729","0.0-11.0","lw0n5s4zt5c38kllr6rx","female","literal","","","purpose","","","{""Q0"":""""}"
"1055","","survey-text","14","264785","0.0-12.0","lw0n5s4zt5c38kllr6rx","female","literal","","","feedback","","","{""Q0"":""""}"
"2205","debrief.html","external-html","15","267252","0.0-13.0","lw0n5s4zt5c38kllr6rx","female","literal","","","","","",""
