"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"35391","consent.html","external-html","0","35680","0.0-0.0","ncoo0psao3c7ajkthca8","female","journey","","","","","",""
"5390","","image-button-response","1","41079","0.0-1.0","ncoo0psao3c7ajkthca8","female","journey","check-1.png","1","check1","","",""
"7890","","image-button-response","2","48976","0.0-2.0","ncoo0psao3c7ajkthca8","female","journey","check-2.png","2","check2","","",""
"47845","","instructions","3","96825","0.0-3.0","ncoo0psao3c7ajkthca8","female","journey","","","","[{""page_index"":0,""viewing_time"":10204},{""page_index"":1,""viewing_time"":4218},{""page_index"":2,""viewing_time"":30334},{""page_index"":3,""viewing_time"":3086}]","",""
"65832","","html-slider-response","4","162666","0.0-4.0","ncoo0psao3c7ajkthca8","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","35",""
"66231","","survey-text","5","228905","0.0-5.0","ncoo0psao3c7ajkthca8","female","journey","","","description","","","{""Q0"":""some issues for health""}"
"21397","","survey-likert","6","250315","0.0-6.0-0.0","ncoo0psao3c7ajkthca8","female","journey","","","urgent","","","{""Q0"":6}"
"11661","","survey-likert","7","261987","0.0-6.0-1.0","ncoo0psao3c7ajkthca8","female","journey","","","sympathy","","","{""Q0"":6}"
"9804","","survey-text","8","271798","0.0-7.0","ncoo0psao3c7ajkthca8","female","journey","","","past-donations","","","{""Q0"":""3""}"
"16248","","survey-multi-choice","9","288060","0.0-8.0-0.0","ncoo0psao3c7ajkthca8","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"9370","","survey-multi-choice","10","297443","0.0-8.0-1.0","ncoo0psao3c7ajkthca8","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"22849","","survey-multi-choice","11","320337","0.0-9.0","ncoo0psao3c7ajkthca8","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"7346","","survey-text","12","327689","0.0-10.0","ncoo0psao3c7ajkthca8","female","journey","","","age","","","{""Q0"":""43""}"
"14626","","survey-text","13","342317","0.0-11.0","ncoo0psao3c7ajkthca8","female","journey","","","purpose","","","{""Q0"":""superb""}"
"19005","","survey-text","14","361331","0.0-12.0","ncoo0psao3c7ajkthca8","female","journey","","","feedback","","","{""Q0"":""good ""}"
"47311","debrief.html","external-html","15","409661","0.0-13.0","ncoo0psao3c7ajkthca8","female","journey","","","","","",""
