"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7581","consent.html","external-html","0","7684","0.0-0.0","nhbpg1jprf0eqskeuoax","male","literal","","","","","",""
"1762","","image-button-response","1","9449","0.0-1.0","nhbpg1jprf0eqskeuoax","male","literal","check-1.png","1","check1","","",""
"2175","","image-button-response","2","11626","0.0-2.0","nhbpg1jprf0eqskeuoax","male","literal","check-2.png","2","check2","","",""
"29138","","instructions","3","40764","0.0-3.0","nhbpg1jprf0eqskeuoax","male","literal","","","","[{""page_index"":0,""viewing_time"":3899},{""page_index"":1,""viewing_time"":20243},{""page_index"":2,""viewing_time"":4104},{""page_index"":3,""viewing_time"":891}]","",""
"24276","","html-slider-response","4","65042","0.0-4.0","nhbpg1jprf0eqskeuoax","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","35",""
"26347","","survey-text","5","91391","0.0-5.0","nhbpg1jprf0eqskeuoax","male","literal","","","description","","","{""Q0"":""Jason is a really good guy who has cancer, and helping him out financially would really go a long way""}"
"6059","","survey-likert","6","97452","0.0-6.0-0.0","nhbpg1jprf0eqskeuoax","male","literal","","","sympathy","","","{""Q0"":5}"
"5442","","survey-likert","7","102898","0.0-6.0-1.0","nhbpg1jprf0eqskeuoax","male","literal","","","urgent","","","{""Q0"":5}"
"8764","","survey-text","8","111665","0.0-7.0","nhbpg1jprf0eqskeuoax","male","literal","","","past-donations","","","{""Q0"":""8""}"
"3132","","survey-multi-choice","9","114799","0.0-8.0-0.0","nhbpg1jprf0eqskeuoax","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"4961","","survey-multi-choice","10","119764","0.0-8.0-1.0","nhbpg1jprf0eqskeuoax","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"15686","","survey-multi-choice","11","135459","0.0-9.0","nhbpg1jprf0eqskeuoax","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"2807","","survey-text","12","138269","0.0-10.0","nhbpg1jprf0eqskeuoax","male","literal","","","age","","","{""Q0"":""20""}"
"5363","","survey-text","13","143632","0.0-11.0","nhbpg1jprf0eqskeuoax","male","literal","","","purpose","","","{""Q0"":""""}"
"1445","","survey-text","14","145077","0.0-12.0","nhbpg1jprf0eqskeuoax","male","literal","","","feedback","","","{""Q0"":""""}"
"6199","debrief.html","external-html","15","151582","0.0-13.0","nhbpg1jprf0eqskeuoax","male","literal","","","","","",""
