"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8038","consent.html","external-html","0","8190","0.0-0.0","qelo6hj31bk106hv5boa","female","literal","","","","","",""
"1625","","image-button-response","1","9821","0.0-1.0","qelo6hj31bk106hv5boa","female","literal","check-1.png","1","check1","","",""
"2519","","image-button-response","2","12345","0.0-2.0","qelo6hj31bk106hv5boa","female","literal","check-2.png","2","check2","","",""
"24440","","instructions","3","36788","0.0-3.0","qelo6hj31bk106hv5boa","female","literal","","","","[{""page_index"":0,""viewing_time"":1446},{""page_index"":1,""viewing_time"":12400},{""page_index"":2,""viewing_time"":9665},{""page_index"":3,""viewing_time"":927}]","",""
"48938","","html-slider-response","4","85732","0.0-4.0","qelo6hj31bk106hv5boa","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","40",""
"70490","","survey-text","5","156227","0.0-5.0","qelo6hj31bk106hv5boa","female","literal","","","description","","","{""Q0"":""Jennifer is in a tough situation with Lymphoma. She needs chemotherapy treatments.  ""}"
"4902","","survey-likert","6","161136","0.0-6.0-0.0","qelo6hj31bk106hv5boa","female","literal","","","urgent","","","{""Q0"":6}"
"1999","","survey-likert","7","163138","0.0-6.0-1.0","qelo6hj31bk106hv5boa","female","literal","","","sympathy","","","{""Q0"":6}"
"5432","","survey-text","8","168575","0.0-7.0","qelo6hj31bk106hv5boa","female","literal","","","past-donations","","","{""Q0"":""2""}"
"3633","","survey-multi-choice","9","172215","0.0-8.0-0.0","qelo6hj31bk106hv5boa","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"1640","","survey-multi-choice","10","173862","0.0-8.0-1.0","qelo6hj31bk106hv5boa","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"8673","","survey-multi-choice","11","182552","0.0-9.0","qelo6hj31bk106hv5boa","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Prefer not to say"",""Q3"":""Yes""}"
"2964","","survey-text","12","185520","0.0-10.0","qelo6hj31bk106hv5boa","female","literal","","","age","","","{""Q0"":""33""}"
"2168","","survey-text","13","187691","0.0-11.0","qelo6hj31bk106hv5boa","female","literal","","","purpose","","","{""Q0"":""""}"
"1526","","survey-text","14","189221","0.0-12.0","qelo6hj31bk106hv5boa","female","literal","","","feedback","","","{""Q0"":""""}"
"6745","debrief.html","external-html","15","196232","0.0-13.0","qelo6hj31bk106hv5boa","female","literal","","","","","",""
