"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8851","consent.html","external-html","0","8880","0.0-0.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","","","",""
"13404","","image-button-response","1","22288","0.0-1.0","rf8zzkk3wwp8ue1vn5bv","male","literal","check-1.png","2","check1","","",""
"1327","","image-button-response","2","23617","0.0-2.0","rf8zzkk3wwp8ue1vn5bv","male","literal","check-2.png","2","check2","","",""
"4530","","instructions","3","28148","0.0-3.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","","[{""page_index"":0,""viewing_time"":1400},{""page_index"":1,""viewing_time"":1059},{""page_index"":2,""viewing_time"":1120},{""page_index"":3,""viewing_time"":950}]","",""
"4948","","html-slider-response","4","33098","0.0-4.0","rf8zzkk3wwp8ue1vn5bv","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","40",""
"7718","","survey-text","5","40818","0.0-5.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","description","","","{""Q0"":""""}"
"3608","","survey-likert","6","44427","0.0-6.0-0.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","sympathy","","","{""Q0"":4}"
"4179","","survey-likert","7","48607","0.0-6.0-1.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","urgent","","","{""Q0"":4}"
"7423","","survey-text","8","56032","0.0-7.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","past-donations","","","{""Q0"":""2""}"
"2273","","survey-multi-choice","9","58307","0.0-8.0-0.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","self-cancer","","","{""Q0"":""Yes""}"
"1750","","survey-multi-choice","10","60059","0.0-8.0-1.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"10933","","survey-multi-choice","11","70998","0.0-9.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4547","","survey-text","12","75547","0.0-10.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","age","","","{""Q0"":""45""}"
"2298","","survey-text","13","77847","0.0-11.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","purpose","","","{""Q0"":""""}"
"1135","","survey-text","14","78983","0.0-12.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","feedback","","","{""Q0"":""""}"
"3471","debrief.html","external-html","15","82572","0.0-13.0","rf8zzkk3wwp8ue1vn5bv","male","literal","","","","","",""
