"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"29080","consent.html","external-html","0","29168","0.0-0.0","t3xr1pkw2dehauyt8nvv","female","battle","","","","","",""
"2040","","image-button-response","1","31214","0.0-1.0","t3xr1pkw2dehauyt8nvv","female","battle","check-1.png","1","check1","","",""
"3735","","image-button-response","2","34952","0.0-2.0","t3xr1pkw2dehauyt8nvv","female","battle","check-2.png","2","check2","","",""
"30692","","instructions","3","65645","0.0-3.0","t3xr1pkw2dehauyt8nvv","female","battle","","","","[{""page_index"":0,""viewing_time"":11727},{""page_index"":1,""viewing_time"":12150},{""page_index"":2,""viewing_time"":5543},{""page_index"":3,""viewing_time"":1271}]","",""
"26257","","html-slider-response","4","91904","0.0-4.0","t3xr1pkw2dehauyt8nvv","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","50",""
"26889","","survey-text","5","118795","0.0-5.0","t3xr1pkw2dehauyt8nvv","female","battle","","","description","","","{""Q0"":""Jennifer has cancer. She is beginning treatment soon.""}"
"5597","","survey-likert","6","124396","0.0-6.0-0.0","t3xr1pkw2dehauyt8nvv","female","battle","","","urgent","","","{""Q0"":5}"
"3703","","survey-likert","7","128100","0.0-6.0-1.0","t3xr1pkw2dehauyt8nvv","female","battle","","","sympathy","","","{""Q0"":6}"
"3075","","survey-text","8","131178","0.0-7.0","t3xr1pkw2dehauyt8nvv","female","battle","","","past-donations","","","{""Q0"":""0""}"
"1995","","survey-multi-choice","9","133184","0.0-8.0-0.0","t3xr1pkw2dehauyt8nvv","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"2405","","survey-multi-choice","10","135593","0.0-8.0-1.0","t3xr1pkw2dehauyt8nvv","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"9183","","survey-multi-choice","11","144784","0.0-9.0","t3xr1pkw2dehauyt8nvv","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3865","","survey-text","12","148652","0.0-10.0","t3xr1pkw2dehauyt8nvv","female","battle","","","age","","","{""Q0"":""34""}"
"8976","","survey-text","13","157631","0.0-11.0","t3xr1pkw2dehauyt8nvv","female","battle","","","purpose","","","{""Q0"":""compassion for others""}"
"1563","","survey-text","14","159197","0.0-12.0","t3xr1pkw2dehauyt8nvv","female","battle","","","feedback","","","{""Q0"":""""}"
"28705","debrief.html","external-html","15","188185","0.0-13.0","t3xr1pkw2dehauyt8nvv","female","battle","","","","","",""
