"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"10092","consent.html","external-html","0","10186","0.0-0.0","uxx2y3w2hugvykgbvx79","male","literal","","","","","",""
"2943","","image-button-response","1","13132","0.0-1.0","uxx2y3w2hugvykgbvx79","male","literal","check-1.png","1","check1","","",""
"2411","","image-button-response","2","15544","0.0-2.0","uxx2y3w2hugvykgbvx79","male","literal","check-2.png","2","check2","","",""
"19368","","instructions","3","34913","0.0-3.0","uxx2y3w2hugvykgbvx79","male","literal","","","","[{""page_index"":0,""viewing_time"":4695},{""page_index"":1,""viewing_time"":11687},{""page_index"":2,""viewing_time"":1665},{""page_index"":3,""viewing_time"":1319}]","",""
"12921","","html-slider-response","4","47835","0.0-4.0","uxx2y3w2hugvykgbvx79","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","50",""
"37401","","survey-text","5","85238","0.0-5.0","uxx2y3w2hugvykgbvx79","male","literal","","","description","","","{""Q0"":""Jason needs the money to fight lympoma""}"
"5957","","survey-likert","6","91197","0.0-6.0-0.0","uxx2y3w2hugvykgbvx79","male","literal","","","urgent","","","{""Q0"":5}"
"4493","","survey-likert","7","95692","0.0-6.0-1.0","uxx2y3w2hugvykgbvx79","male","literal","","","sympathy","","","{""Q0"":6}"
"4056","","survey-text","8","99750","0.0-7.0","uxx2y3w2hugvykgbvx79","male","literal","","","past-donations","","","{""Q0"":""10""}"
"14320","","survey-multi-choice","9","114072","0.0-8.0-0.0","uxx2y3w2hugvykgbvx79","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3168","","survey-multi-choice","10","117243","0.0-8.0-1.0","uxx2y3w2hugvykgbvx79","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"50222","","survey-multi-choice","11","167470","0.0-9.0","uxx2y3w2hugvykgbvx79","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3910","","survey-text","12","171383","0.0-10.0","uxx2y3w2hugvykgbvx79","male","literal","","","age","","","{""Q0"":""64""}"
"2795","","survey-text","13","174178","0.0-11.0","uxx2y3w2hugvykgbvx79","male","literal","","","purpose","","","{""Q0"":""""}"
"1254","","survey-text","14","175433","0.0-12.0","uxx2y3w2hugvykgbvx79","male","literal","","","feedback","","","{""Q0"":""""}"
"13201","debrief.html","external-html","15","188900","0.0-13.0","uxx2y3w2hugvykgbvx79","male","literal","","","","","",""
