"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"40502","consent.html","external-html","0","40643","0.0-0.0","vvft80pxzbbv7017dwoy","male","journey","","","","","",""
"53042","","image-button-response","1","93695","0.0-1.0","vvft80pxzbbv7017dwoy","male","journey","check-1.png","2","check1","","",""
"2383","","image-button-response","2","96083","0.0-2.0","vvft80pxzbbv7017dwoy","male","journey","check-2.png","2","check2","","",""
"6463","","instructions","3","102549","0.0-3.0","vvft80pxzbbv7017dwoy","male","journey","","","","[{""page_index"":0,""viewing_time"":1621},{""page_index"":1,""viewing_time"":1798},{""page_index"":2,""viewing_time"":1683},{""page_index"":3,""viewing_time"":1358}]","",""
"8479","","html-slider-response","4","111041","0.0-4.0","vvft80pxzbbv7017dwoy","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mj.png"" class=""main-trial""/>","","trial","","45",""
"28517","","survey-text","5","139565","0.0-5.0","vvft80pxzbbv7017dwoy","male","journey","","","description","","","{""Q0"":""The jason is very like worker""}"
"5786","","survey-likert","6","145358","0.0-6.0-0.0","vvft80pxzbbv7017dwoy","male","journey","","","sympathy","","","{""Q0"":5}"
"78008","","survey-likert","7","223372","0.0-6.0-1.0","vvft80pxzbbv7017dwoy","male","journey","","","urgent","","","{""Q0"":4}"
"56826","","survey-text","8","280205","0.0-7.0","vvft80pxzbbv7017dwoy","male","journey","","","past-donations","","","{""Q0"":""8""}"
"7850","","survey-multi-choice","9","288064","0.0-8.0-0.0","vvft80pxzbbv7017dwoy","male","journey","","","self-cancer","","","{""Q0"":""Yes""}"
"7047","","survey-multi-choice","10","295118","0.0-8.0-1.0","vvft80pxzbbv7017dwoy","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"17997","","survey-multi-choice","11","313134","0.0-9.0","vvft80pxzbbv7017dwoy","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"8705","","survey-text","12","321846","0.0-10.0","vvft80pxzbbv7017dwoy","male","journey","","","age","","","{""Q0"":""53""}"
"7012","","survey-text","13","328862","0.0-11.0","vvft80pxzbbv7017dwoy","male","journey","","","purpose","","","{""Q0"":""Very useful.""}"
"15531","","survey-text","14","344396","0.0-12.0","vvft80pxzbbv7017dwoy","male","journey","","","feedback","","","{""Q0"":""Its very like survey.""}"
"23480","debrief.html","external-html","15","368220","0.0-13.0","vvft80pxzbbv7017dwoy","male","journey","","","","","",""
