"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3490","consent.html","external-html","0","3593","0.0-0.0","w34jwg58btdbu4ywkn4f","female","literal","","","","","",""
"2351","","image-button-response","1","5949","0.0-1.0","w34jwg58btdbu4ywkn4f","female","literal","check-1.png","1","check1","","",""
"4006","","image-button-response","2","9956","0.0-2.0","w34jwg58btdbu4ywkn4f","female","literal","check-2.png","2","check2","","",""
"76952","","instructions","3","86909","0.0-3.0","w34jwg58btdbu4ywkn4f","female","literal","","","","[{""page_index"":0,""viewing_time"":5472},{""page_index"":1,""viewing_time"":58279},{""page_index"":2,""viewing_time"":12240},{""page_index"":3,""viewing_time"":960}]","",""
"31902","","html-slider-response","4","118813","0.0-4.0","w34jwg58btdbu4ywkn4f","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","20",""
"28078","","survey-text","5","146892","0.0-5.0","w34jwg58btdbu4ywkn4f","female","literal","","","description","","","{""Q0"":""Jennifer was diagnosed with stage 2 thyroid cancer. She has a tough road ahead with chemo and tests.""}"
"4758","","survey-likert","6","151653","0.0-6.0-0.0","w34jwg58btdbu4ywkn4f","female","literal","","","urgent","","","{""Q0"":5}"
"3065","","survey-likert","7","154725","0.0-6.0-1.0","w34jwg58btdbu4ywkn4f","female","literal","","","sympathy","","","{""Q0"":5}"
"4571","","survey-text","8","159301","0.0-7.0","w34jwg58btdbu4ywkn4f","female","literal","","","past-donations","","","{""Q0"":""10""}"
"3765","","survey-multi-choice","9","163069","0.0-8.0-0.0","w34jwg58btdbu4ywkn4f","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2124","","survey-multi-choice","10","165197","0.0-8.0-1.0","w34jwg58btdbu4ywkn4f","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"12575","","survey-multi-choice","11","177782","0.0-9.0","w34jwg58btdbu4ywkn4f","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3402","","survey-text","12","181188","0.0-10.0","w34jwg58btdbu4ywkn4f","female","literal","","","age","","","{""Q0"":""31""}"
"15688","","survey-text","13","196877","0.0-11.0","w34jwg58btdbu4ywkn4f","female","literal","","","purpose","","","{""Q0"":""if we feel inclined to donate on the urgency of a situation""}"
"2230","","survey-text","14","199109","0.0-12.0","w34jwg58btdbu4ywkn4f","female","literal","","","feedback","","","{""Q0"":""""}"
"14240","debrief.html","external-html","15","213617","0.0-13.0","w34jwg58btdbu4ywkn4f","female","literal","","","","","",""
