"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8295","consent.html","external-html","0","8305","0.0-0.0","wuna2pvf0w2a59czqzud","female","literal","","","","","",""
"1644","","image-button-response","1","9952","0.0-1.0","wuna2pvf0w2a59czqzud","female","literal","check-1.png","1","check1","","",""
"2391","","image-button-response","2","12344","0.0-2.0","wuna2pvf0w2a59czqzud","female","literal","check-2.png","2","check2","","",""
"35665","","instructions","3","48010","0.0-3.0","wuna2pvf0w2a59czqzud","female","literal","","","","[{""page_index"":0,""viewing_time"":4528},{""page_index"":1,""viewing_time"":17106},{""page_index"":2,""viewing_time"":13077},{""page_index"":3,""viewing_time"":952}]","",""
"25329","","html-slider-response","4","73342","0.0-4.0","wuna2pvf0w2a59czqzud","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","4",""
"56054","","survey-text","5","129398","0.0-5.0","wuna2pvf0w2a59czqzud","female","literal","","","description","","","{""Q0"":""Jennifer seems to be very good hearted to people and she's kind and very nice. Jennifer has lymphoma and needs to get help and treatment and thats why donating is a great thing to do. ""}"
"3543","","survey-likert","6","132944","0.0-6.0-0.0","wuna2pvf0w2a59czqzud","female","literal","","","sympathy","","","{""Q0"":4}"
"2133","","survey-likert","7","135080","0.0-6.0-1.0","wuna2pvf0w2a59czqzud","female","literal","","","urgent","","","{""Q0"":5}"
"2838","","survey-text","8","137920","0.0-7.0","wuna2pvf0w2a59czqzud","female","literal","","","past-donations","","","{""Q0"":""3""}"
"2660","","survey-multi-choice","9","140586","0.0-8.0-0.0","wuna2pvf0w2a59czqzud","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"1856","","survey-multi-choice","10","142446","0.0-8.0-1.0","wuna2pvf0w2a59czqzud","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"8166","","survey-multi-choice","11","150625","0.0-9.0","wuna2pvf0w2a59czqzud","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3100","","survey-text","12","153728","0.0-10.0","wuna2pvf0w2a59czqzud","female","literal","","","age","","","{""Q0"":""26""}"
"3199","","survey-text","13","156928","0.0-11.0","wuna2pvf0w2a59czqzud","female","literal","","","purpose","","","{""Q0"":""""}"
"1767","","survey-text","14","158697","0.0-12.0","wuna2pvf0w2a59czqzud","female","literal","","","feedback","","","{""Q0"":""""}"
"4175","debrief.html","external-html","15","163166","0.0-13.0","wuna2pvf0w2a59czqzud","female","literal","","","","","",""
