"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8122","consent.html","external-html","0","8148","0.0-0.0","x5dslk25k36fccq0sm59","male","literal","","","","","",""
"2209","","image-button-response","1","10361","0.0-1.0","x5dslk25k36fccq0sm59","male","literal","check-1.png","1","check1","","",""
"1772","","image-button-response","2","12134","0.0-2.0","x5dslk25k36fccq0sm59","male","literal","check-2.png","2","check2","","",""
"7912","","instructions","3","20047","0.0-3.0","x5dslk25k36fccq0sm59","male","literal","","","","[{""page_index"":0,""viewing_time"":1913},{""page_index"":1,""viewing_time"":2556},{""page_index"":2,""viewing_time"":2022},{""page_index"":3,""viewing_time"":1420}]","",""
"17199","","html-slider-response","4","37249","0.0-4.0","x5dslk25k36fccq0sm59","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","10",""
"55394","","survey-text","5","92646","0.0-5.0","x5dslk25k36fccq0sm59","male","literal","","","description","","","{""Q0"":""he has had thyroid surgery and was diagnosed with stage 2 lymphoma. He has to undergo chemo treatments for the next few months.He's optimistic and could use some help with expenses.""}"
"3789","","survey-likert","6","96437","0.0-6.0-0.0","x5dslk25k36fccq0sm59","male","literal","","","sympathy","","","{""Q0"":6}"
"3077","","survey-likert","7","99517","0.0-6.0-1.0","x5dslk25k36fccq0sm59","male","literal","","","urgent","","","{""Q0"":2}"
"3772","","survey-text","8","103290","0.0-7.0","x5dslk25k36fccq0sm59","male","literal","","","past-donations","","","{""Q0"":""5""}"
"3293","","survey-multi-choice","9","106587","0.0-8.0-0.0","x5dslk25k36fccq0sm59","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3909","","survey-multi-choice","10","110499","0.0-8.0-1.0","x5dslk25k36fccq0sm59","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"11315","","survey-multi-choice","11","121823","0.0-9.0","x5dslk25k36fccq0sm59","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4457","","survey-text","12","126282","0.0-10.0","x5dslk25k36fccq0sm59","male","literal","","","age","","","{""Q0"":""48""}"
"2569","","survey-text","13","128853","0.0-11.0","x5dslk25k36fccq0sm59","male","literal","","","purpose","","","{""Q0"":""""}"
"1318","","survey-text","14","130172","0.0-12.0","x5dslk25k36fccq0sm59","male","literal","","","feedback","","","{""Q0"":""""}"
"4419","debrief.html","external-html","15","134604","0.0-13.0","x5dslk25k36fccq0sm59","male","literal","","","","","",""
