"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"44194","consent.html","external-html","0","44318","0.0-0.0","xhtzdnhsze7x6kndde3n","male","battle","","","","","",""
"2600","","image-button-response","1","46922","0.0-1.0","xhtzdnhsze7x6kndde3n","male","battle","check-1.png","1","check1","","",""
"4196","","image-button-response","2","51120","0.0-2.0","xhtzdnhsze7x6kndde3n","male","battle","check-2.png","2","check2","","",""
"76502","","instructions","3","127624","0.0-3.0","xhtzdnhsze7x6kndde3n","male","battle","","","","[{""page_index"":0,""viewing_time"":23950},{""page_index"":1,""viewing_time"":41287},{""page_index"":2,""viewing_time"":9514},{""page_index"":3,""viewing_time"":1751}]","",""
"94141","","html-slider-response","4","221768","0.0-4.0","xhtzdnhsze7x6kndde3n","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","5",""
"220413","","survey-text","5","442184","0.0-5.0","xhtzdnhsze7x6kndde3n","male","battle","","","description","","","{""Q0"":""After going thru thyroid surgery, Jason was diagnosed with Stage 2 Lymphoma. He needs many rounds of chemo & possibly radiation as well.""}"
"8225","","survey-likert","6","450412","0.0-6.0-0.0","xhtzdnhsze7x6kndde3n","male","battle","","","urgent","","","{""Q0"":5}"
"4914","","survey-likert","7","455329","0.0-6.0-1.0","xhtzdnhsze7x6kndde3n","male","battle","","","sympathy","","","{""Q0"":5}"
"42684","","survey-text","8","498015","0.0-7.0","xhtzdnhsze7x6kndde3n","male","battle","","","past-donations","","","{""Q0"":""7""}"
"4462","","survey-multi-choice","9","502481","0.0-8.0-0.0","xhtzdnhsze7x6kndde3n","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2844","","survey-multi-choice","10","505329","0.0-8.0-1.0","xhtzdnhsze7x6kndde3n","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"13413","","survey-multi-choice","11","518754","0.0-9.0","xhtzdnhsze7x6kndde3n","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"8091","","survey-text","12","526847","0.0-10.0","xhtzdnhsze7x6kndde3n","male","battle","","","age","","","{""Q0"":""43""}"
"21550","","survey-text","13","548399","0.0-11.0","xhtzdnhsze7x6kndde3n","male","battle","","","purpose","","","{""Q0"":""""}"
"2199","","survey-text","14","550599","0.0-12.0","xhtzdnhsze7x6kndde3n","male","battle","","","feedback","","","{""Q0"":""""}"
"47527","debrief.html","external-html","15","598433","0.0-13.0","xhtzdnhsze7x6kndde3n","male","battle","","","","","",""
