"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11740","consent.html","external-html","0","11989","0.0-0.0","ynkhr09j1epf3pvlggf9","female","journey","","","","","",""
"2723","","image-button-response","1","14716","0.0-1.0","ynkhr09j1epf3pvlggf9","female","journey","check-1.png","1","check1","","",""
"2997","","image-button-response","2","17716","0.0-2.0","ynkhr09j1epf3pvlggf9","female","journey","check-2.png","2","check2","","",""
"42398","","instructions","3","60115","0.0-3.0","ynkhr09j1epf3pvlggf9","female","journey","","","","[{""page_index"":0,""viewing_time"":5152},{""page_index"":1,""viewing_time"":18021},{""page_index"":2,""viewing_time"":3168},{""page_index"":1,""viewing_time"":4990},{""page_index"":2,""viewing_time"":9042},{""page_index"":3,""viewing_time"":2024}]","",""
"17479","","html-slider-response","4","77597","0.0-4.0","ynkhr09j1epf3pvlggf9","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","4",""
"37558","","survey-text","5","115158","0.0-5.0","ynkhr09j1epf3pvlggf9","female","journey","","","description","","","{""Q0"":""She is suffering from a condition called lymphoma a form of cancer. She needs money for treatment as it is costly.""}"
"6759","","survey-likert","6","121920","0.0-6.0-0.0","ynkhr09j1epf3pvlggf9","female","journey","","","sympathy","","","{""Q0"":5}"
"3416","","survey-likert","7","125345","0.0-6.0-1.0","ynkhr09j1epf3pvlggf9","female","journey","","","urgent","","","{""Q0"":5}"
"4438","","survey-text","8","129793","0.0-7.0","ynkhr09j1epf3pvlggf9","female","journey","","","past-donations","","","{""Q0"":""0""}"
"2606","","survey-multi-choice","9","132403","0.0-8.0-0.0","ynkhr09j1epf3pvlggf9","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2786","","survey-multi-choice","10","135199","0.0-8.0-1.0","ynkhr09j1epf3pvlggf9","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"9278","","survey-multi-choice","11","144496","0.0-9.0","ynkhr09j1epf3pvlggf9","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3568","","survey-text","12","148072","0.0-10.0","ynkhr09j1epf3pvlggf9","female","journey","","","age","","","{""Q0"":""23""}"
"6646","","survey-text","13","154720","0.0-11.0","ynkhr09j1epf3pvlggf9","female","journey","","","purpose","","","{""Q0"":""empathy""}"
"3168","","survey-text","14","157889","0.0-12.0","ynkhr09j1epf3pvlggf9","female","journey","","","feedback","","","{""Q0"":""""}"
"3688","debrief.html","external-html","15","161832","0.0-13.0","ynkhr09j1epf3pvlggf9","female","journey","","","","","",""
