"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"7093","consent.html","external-html","0","7333","0.0-0.0","hjolto77jpmdrf3uo56x","female","literal","","","","","",""
"4233","","image-button-response","1","11569","0.0-1.0","hjolto77jpmdrf3uo56x","female","literal","check-1.png","1","check1","","",""
"4087","","image-button-response","2","15659","0.0-2.0","hjolto77jpmdrf3uo56x","female","literal","check-2.png","2","check2","","",""
"6477","","instructions","3","22137","0.0-3.0","hjolto77jpmdrf3uo56x","female","literal","","","","[{""page_index"":0,""viewing_time"":1934},{""page_index"":1,""viewing_time"":1607},{""page_index"":2,""viewing_time"":1646},{""page_index"":3,""viewing_time"":1289}]","",""
"19357","","html-slider-response","4","41499","0.0-4.0","hjolto77jpmdrf3uo56x","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","29",""
"143120","","survey-text","5","184625","0.0-5.0","hjolto77jpmdrf3uo56x","female","literal","","","description","","","{""Q0"":""Jennifer is best friend, i am raising money to help pay for the many expenses that will come along during the circumstances ahead.""}"
"2951","","survey-likert","6","187589","0.0-6.0-0.0","hjolto77jpmdrf3uo56x","female","literal","","","urgent","","","{""Q0"":5}"
"2241","","survey-likert","7","189837","0.0-6.0-1.0","hjolto77jpmdrf3uo56x","female","literal","","","sympathy","","","{""Q0"":4}"
"3186","","survey-text","8","193026","0.0-7.0","hjolto77jpmdrf3uo56x","female","literal","","","past-donations","","","{""Q0"":""3""}"
"5027","","survey-multi-choice","9","198065","0.0-8.0-0.0","hjolto77jpmdrf3uo56x","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"4225","","survey-multi-choice","10","202294","0.0-8.0-1.0","hjolto77jpmdrf3uo56x","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"8970","","survey-multi-choice","11","211281","0.0-9.0","hjolto77jpmdrf3uo56x","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4360","","survey-text","12","215644","0.0-10.0","hjolto77jpmdrf3uo56x","female","literal","","","age","","","{""Q0"":""45""}"
"2822","","survey-text","13","218468","0.0-11.0","hjolto77jpmdrf3uo56x","female","literal","","","purpose","","","{""Q0"":""Good""}"
"4533","","survey-text","14","223003","0.0-12.0","hjolto77jpmdrf3uo56x","female","literal","","","feedback","","","{""Q0"":""Interesting""}"
"14429","debrief.html","external-html","15","238232","0.0-13.0","hjolto77jpmdrf3uo56x","female","literal","","","","","",""
