"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5106","consent.html","external-html","0","5188","0.0-0.0","rgw0futn4179e4t4xpse","male","journey","","","","","",""
"1830","","image-button-response","1","7019","0.0-1.0","rgw0futn4179e4t4xpse","male","journey","check-1.png","1","check1","","",""
"3006","","image-button-response","2","10025","0.0-2.0","rgw0futn4179e4t4xpse","male","journey","check-2.png","2","check2","","",""
"30751","","instructions","3","40776","0.0-3.0","rgw0futn4179e4t4xpse","male","journey","","","","[{""page_index"":0,""viewing_time"":8103},{""page_index"":1,""viewing_time"":16593},{""page_index"":2,""viewing_time"":4561},{""page_index"":3,""viewing_time"":1493}]","",""
"45680","","html-slider-response","4","86457","0.0-4.0","rgw0futn4179e4t4xpse","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","0",""
"95351","","survey-text","5","181809","0.0-5.0","rgw0futn4179e4t4xpse","male","journey","","","description","","","{""Q0"":""Jason has cancer and has expenses that are not made clear. It is not certain how the donations would be spent but the fact of the situation is that Jason has stage II lymphoma and as a result is not well. Money is a good thing to have in this situation but it is unfortunate that I cannot describe to a friend what exactly Jason's financial needs are which would necessitate a donation.""}"
"4756","","survey-likert","6","186565","0.0-6.0-0.0","rgw0futn4179e4t4xpse","male","journey","","","sympathy","","","{""Q0"":3}"
"2921","","survey-likert","7","189488","0.0-6.0-1.0","rgw0futn4179e4t4xpse","male","journey","","","urgent","","","{""Q0"":0}"
"2837","","survey-text","8","192326","0.0-7.0","rgw0futn4179e4t4xpse","male","journey","","","past-donations","","","{""Q0"":""1""}"
"3053","","survey-multi-choice","9","195381","0.0-8.0-0.0","rgw0futn4179e4t4xpse","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"1939","","survey-multi-choice","10","197322","0.0-8.0-1.0","rgw0futn4179e4t4xpse","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"8765","","survey-multi-choice","11","206090","0.0-9.0","rgw0futn4179e4t4xpse","male","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"1735","","survey-text","12","207827","0.0-10.0","rgw0futn4179e4t4xpse","male","journey","","","age","","","{""Q0"":""32""}"
"44830","","survey-text","13","252658","0.0-11.0","rgw0futn4179e4t4xpse","male","journey","","","purpose","","","{""Q0"":""To see if chance income would be used toward a purely sympathetic cause, one that lacks details in hard financial needs, but is presented in a way to tuck at the heartstrings. ""}"
"45772","","survey-text","14","298431","0.0-12.0","rgw0futn4179e4t4xpse","male","journey","","","feedback","","","{""Q0"":""The donation request would have to detail why donations are needed and what they would fund. Otherwise I feel this could be a risk of misappropriation ""}"
"3402","debrief.html","external-html","15","302056","0.0-13.0","rgw0futn4179e4t4xpse","male","journey","","","","","",""
