"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3501","consent.html","external-html","0","3597","0.0-0.0","1au1pahsbnlhfle3axy9","female","battle","","","","","",""
"1907","","image-button-response","1","5508","0.0-1.0","1au1pahsbnlhfle3axy9","female","battle","check-1.png","1","check1","","",""
"2710","","image-button-response","2","8221","0.0-2.0","1au1pahsbnlhfle3axy9","female","battle","check-2.png","2","check2","","",""
"19134","","instructions","3","27357","0.0-3.0","1au1pahsbnlhfle3axy9","female","battle","","","","[{""page_index"":0,""viewing_time"":5070},{""page_index"":1,""viewing_time"":8119},{""page_index"":2,""viewing_time"":5080},{""page_index"":3,""viewing_time"":864}]","",""
"17043","","html-slider-response","4","44406","0.0-4.0","1au1pahsbnlhfle3axy9","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","2",""
"23246","","survey-text","5","67654","0.0-5.0","1au1pahsbnlhfle3axy9","female","battle","","","description","","","{""Q0"":""She had surgery and they found stage 2 lymphoma and is having treatment. She's nauseous but ok.""}"
"3681","","survey-likert","6","71337","0.0-6.0-0.0","1au1pahsbnlhfle3axy9","female","battle","","","urgent","","","{""Q0"":0}"
"7506","","survey-likert","7","78846","0.0-6.0-1.0","1au1pahsbnlhfle3axy9","female","battle","","","sympathy","","","{""Q0"":2}"
"8277","","survey-text","8","87125","0.0-7.0","1au1pahsbnlhfle3axy9","female","battle","","","past-donations","","","{""Q0"":""2""}"
"4494","","survey-multi-choice","9","91623","0.0-8.0-0.0","1au1pahsbnlhfle3axy9","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"1846","","survey-multi-choice","10","93472","0.0-8.0-1.0","1au1pahsbnlhfle3axy9","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"11224","","survey-multi-choice","11","104710","0.0-9.0","1au1pahsbnlhfle3axy9","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3445","","survey-text","12","108158","0.0-10.0","1au1pahsbnlhfle3axy9","female","battle","","","age","","","{""Q0"":""33""}"
"2767","","survey-text","13","110926","0.0-11.0","1au1pahsbnlhfle3axy9","female","battle","","","purpose","","","{""Q0"":""""}"
"3910","","survey-text","14","114838","0.0-12.0","1au1pahsbnlhfle3axy9","female","battle","","","feedback","","","{""Q0"":""""}"
"2016","debrief.html","external-html","15","117118","0.0-13.0","1au1pahsbnlhfle3axy9","female","battle","","","","","",""
