"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"76723","consent.html","external-html","0","77090","0.0-0.0","58vhsrx6xn68urnwm4l3","female","literal","","","","","",""
"6214","","image-button-response","1","83352","0.0-1.0","58vhsrx6xn68urnwm4l3","female","literal","check-1.png","1","check1","","",""
"4100","","image-button-response","2","87463","0.0-2.0","58vhsrx6xn68urnwm4l3","female","literal","check-2.png","2","check2","","",""
"59114","","instructions","3","146583","0.0-3.0","58vhsrx6xn68urnwm4l3","female","literal","","","","[{""page_index"":0,""viewing_time"":9254},{""page_index"":1,""viewing_time"":34690},{""page_index"":2,""viewing_time"":13619},{""page_index"":3,""viewing_time"":1533}]","",""
"58349","","html-slider-response","4","204995","0.0-4.0","58vhsrx6xn68urnwm4l3","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","5",""
"20226","","survey-text","5","225234","0.0-5.0","58vhsrx6xn68urnwm4l3","female","literal","","","description","","","{""Q0"":""A kind hearted who is is with lymphoma""}"
"7267","","survey-likert","6","232527","0.0-6.0-0.0","58vhsrx6xn68urnwm4l3","female","literal","","","urgent","","","{""Q0"":4}"
"3134","","survey-likert","7","235684","0.0-6.0-1.0","58vhsrx6xn68urnwm4l3","female","literal","","","sympathy","","","{""Q0"":4}"
"19495","","survey-text","8","255202","0.0-7.0","58vhsrx6xn68urnwm4l3","female","literal","","","past-donations","","","{""Q0"":""3""}"
"3221","","survey-multi-choice","9","258454","0.0-8.0-0.0","58vhsrx6xn68urnwm4l3","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"6775","","survey-multi-choice","10","265245","0.0-8.0-1.0","58vhsrx6xn68urnwm4l3","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"23204","","survey-multi-choice","11","288488","0.0-9.0","58vhsrx6xn68urnwm4l3","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$100,000 through $149,999"",""Q3"":""Yes""}"
"9218","","survey-text","12","297716","0.0-10.0","58vhsrx6xn68urnwm4l3","female","literal","","","age","","","{""Q0"":""40""}"
"16505","","survey-text","13","314228","0.0-11.0","58vhsrx6xn68urnwm4l3","female","literal","","","purpose","","","{""Q0"":""People's will to give""}"
"3695","","survey-text","14","317936","0.0-12.0","58vhsrx6xn68urnwm4l3","female","literal","","","feedback","","","{""Q0"":""""}"
"61862","debrief.html","external-html","15","380637","0.0-13.0","58vhsrx6xn68urnwm4l3","female","literal","","","","","",""
