"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"32350","consent.html","external-html","0","32454","0.0-0.0","6df4ex4ph6w7168gv3gp","male","battle","","","","","",""
"3274","","image-button-response","1","35731","0.0-1.0","6df4ex4ph6w7168gv3gp","male","battle","check-1.png","1","check1","","",""
"4446","","image-button-response","2","40178","0.0-2.0","6df4ex4ph6w7168gv3gp","male","battle","check-2.png","2","check2","","",""
"49672","","instructions","3","89851","0.0-3.0","6df4ex4ph6w7168gv3gp","male","battle","","","","[{""page_index"":0,""viewing_time"":12375},{""page_index"":1,""viewing_time"":27168},{""page_index"":2,""viewing_time"":8384},{""page_index"":3,""viewing_time"":1744}]","",""
"50563","","html-slider-response","4","140419","0.0-4.0","6df4ex4ph6w7168gv3gp","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","50",""
"67582","","survey-text","5","208002","0.0-5.0","6df4ex4ph6w7168gv3gp","male","battle","","","description","","","{""Q0"":""Jason is hospitalized right now. He is going through a hard time and probably needs all the emotional and financial support available. ""}"
"8576","","survey-likert","6","216579","0.0-6.0-0.0","6df4ex4ph6w7168gv3gp","male","battle","","","urgent","","","{""Q0"":5}"
"4032","","survey-likert","7","220613","0.0-6.0-1.0","6df4ex4ph6w7168gv3gp","male","battle","","","sympathy","","","{""Q0"":5}"
"4332","","survey-text","8","224946","0.0-7.0","6df4ex4ph6w7168gv3gp","male","battle","","","past-donations","","","{""Q0"":""1""}"
"4695","","survey-multi-choice","9","229644","0.0-8.0-0.0","6df4ex4ph6w7168gv3gp","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2269","","survey-multi-choice","10","231914","0.0-8.0-1.0","6df4ex4ph6w7168gv3gp","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"12682","","survey-multi-choice","11","244603","0.0-9.0","6df4ex4ph6w7168gv3gp","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3957","","survey-text","12","248562","0.0-10.0","6df4ex4ph6w7168gv3gp","male","battle","","","age","","","{""Q0"":""23""}"
"35439","","survey-text","13","284002","0.0-11.0","6df4ex4ph6w7168gv3gp","male","battle","","","purpose","","","{""Q0"":""Seeing who is willing to donate how much based on their income.""}"
"2838","","survey-text","14","286842","0.0-12.0","6df4ex4ph6w7168gv3gp","male","battle","","","feedback","","","{""Q0"":""""}"
"19251","debrief.html","external-html","15","306379","0.0-13.0","6df4ex4ph6w7168gv3gp","male","battle","","","","","",""
