"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11635","consent.html","external-html","0","11749","0.0-0.0","bfont41494zfpvydopk4","male","literal","","","","","",""
"2417","","image-button-response","1","14169","0.0-1.0","bfont41494zfpvydopk4","male","literal","check-1.png","1","check1","","",""
"3697","","image-button-response","2","17868","0.0-2.0","bfont41494zfpvydopk4","male","literal","check-2.png","2","check2","","",""
"43932","","instructions","3","61801","0.0-3.0","bfont41494zfpvydopk4","male","literal","","","","[{""page_index"":0,""viewing_time"":5243},{""page_index"":1,""viewing_time"":28927},{""page_index"":2,""viewing_time"":8149},{""page_index"":3,""viewing_time"":1612}]","",""
"39607","","html-slider-response","4","101412","0.0-4.0","bfont41494zfpvydopk4","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","","trial","","50",""
"44281","","survey-text","5","145695","0.0-5.0","bfont41494zfpvydopk4","male","literal","","","description","","","{""Q0"":""Jason is a fine young man who was recently diagnosed with lymphoma.  He needs help with his medical expenses.""}"
"10731","","survey-likert","6","156429","0.0-6.0-0.0","bfont41494zfpvydopk4","male","literal","","","urgent","","","{""Q0"":5}"
"5213","","survey-likert","7","161645","0.0-6.0-1.0","bfont41494zfpvydopk4","male","literal","","","sympathy","","","{""Q0"":6}"
"7944","","survey-text","8","169592","0.0-7.0","bfont41494zfpvydopk4","male","literal","","","past-donations","","","{""Q0"":""14""}"
"7596","","survey-multi-choice","9","177191","0.0-8.0-0.0","bfont41494zfpvydopk4","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"3617","","survey-multi-choice","10","180812","0.0-8.0-1.0","bfont41494zfpvydopk4","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"14052","","survey-multi-choice","11","194876","0.0-9.0","bfont41494zfpvydopk4","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"4982","","survey-text","12","199861","0.0-10.0","bfont41494zfpvydopk4","male","literal","","","age","","","{""Q0"":""65""}"
"8533","","survey-text","13","208395","0.0-11.0","bfont41494zfpvydopk4","male","literal","","","purpose","","","{""Q0"":""not sure""}"
"4149","","survey-text","14","212545","0.0-12.0","bfont41494zfpvydopk4","male","literal","","","feedback","","","{""Q0"":""no""}"
"9411","debrief.html","external-html","15","222273","0.0-13.0","bfont41494zfpvydopk4","male","literal","","","","","",""
