"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"21325","consent.html","external-html","0","21365","0.0-0.0","c419p55dbc1tdvgg0jdg","female","literal","","","","","",""
"2790","","image-button-response","1","24158","0.0-1.0","c419p55dbc1tdvgg0jdg","female","literal","check-1.png","1","check1","","",""
"2353","","image-button-response","2","26512","0.0-2.0","c419p55dbc1tdvgg0jdg","female","literal","check-2.png","2","check2","","",""
"25244","","instructions","3","51756","0.0-3.0","c419p55dbc1tdvgg0jdg","female","literal","","","","[{""page_index"":0,""viewing_time"":5310},{""page_index"":1,""viewing_time"":10466},{""page_index"":2,""viewing_time"":7706},{""page_index"":3,""viewing_time"":1762}]","",""
"31363","","html-slider-response","4","83120","0.0-4.0","c419p55dbc1tdvgg0jdg","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","49",""
"38929","","survey-text","5","122050","0.0-5.0","c419p55dbc1tdvgg0jdg","female","literal","","","description","","","{""Q0"":""Jennifer is someone who has an unfortunate situation in life, and is struggling to pay for extensive care given her extreme circumstances. I think that we need to help her continue to fight for her and the people around her. ""}"
"3415","","survey-likert","6","125467","0.0-6.0-0.0","c419p55dbc1tdvgg0jdg","female","literal","","","sympathy","","","{""Q0"":6}"
"3434","","survey-likert","7","128904","0.0-6.0-1.0","c419p55dbc1tdvgg0jdg","female","literal","","","urgent","","","{""Q0"":6}"
"2634","","survey-text","8","131542","0.0-7.0","c419p55dbc1tdvgg0jdg","female","literal","","","past-donations","","","{""Q0"":""2""}"
"1804","","survey-multi-choice","9","133348","0.0-8.0-0.0","c419p55dbc1tdvgg0jdg","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"2566","","survey-multi-choice","10","135917","0.0-8.0-1.0","c419p55dbc1tdvgg0jdg","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"15219","","survey-multi-choice","11","151144","0.0-9.0","c419p55dbc1tdvgg0jdg","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"2063","","survey-text","12","153211","0.0-10.0","c419p55dbc1tdvgg0jdg","female","literal","","","age","","","{""Q0"":""21""}"
"14581","","survey-text","13","167794","0.0-11.0","c419p55dbc1tdvgg0jdg","female","literal","","","purpose","","","{""Q0"":""To see if people value money for themselves or would rather help someone in need. ""}"
"1263","","survey-text","14","169057","0.0-12.0","c419p55dbc1tdvgg0jdg","female","literal","","","feedback","","","{""Q0"":""""}"
"22080","debrief.html","external-html","15","191225","0.0-13.0","c419p55dbc1tdvgg0jdg","female","literal","","","","","",""
