"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"112806","consent.html","external-html","0","112945","0.0-0.0","ce4mhkhb7owf4zcd0l28","female","battle","","","","","",""
"3882","","image-button-response","1","116844","0.0-1.0","ce4mhkhb7owf4zcd0l28","female","battle","check-1.png","1","check1","","",""
"6267","","image-button-response","2","123118","0.0-2.0","ce4mhkhb7owf4zcd0l28","female","battle","check-2.png","2","check2","","",""
"49873","","instructions","3","172996","0.0-3.0","ce4mhkhb7owf4zcd0l28","female","battle","","","","[{""page_index"":0,""viewing_time"":11398},{""page_index"":1,""viewing_time"":27024},{""page_index"":2,""viewing_time"":8686},{""page_index"":3,""viewing_time"":2755}]","",""
"50863","","html-slider-response","4","223871","0.0-4.0","ce4mhkhb7owf4zcd0l28","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","25",""
"69487","","survey-text","5","293372","0.0-5.0","ce4mhkhb7owf4zcd0l28","female","battle","","","description","","","{""Q0"":""Jennifer has lympdemia. she is required to do chemo. ""}"
"17603","","survey-likert","6","310989","0.0-6.0-0.0","ce4mhkhb7owf4zcd0l28","female","battle","","","sympathy","","","{""Q0"":3}"
"9394","","survey-likert","7","320394","0.0-6.0-1.0","ce4mhkhb7owf4zcd0l28","female","battle","","","urgent","","","{""Q0"":3}"
"11165","","survey-text","8","331567","0.0-7.0","ce4mhkhb7owf4zcd0l28","female","battle","","","past-donations","","","{""Q0"":""1""}"
"5236","","survey-multi-choice","9","336824","0.0-8.0-0.0","ce4mhkhb7owf4zcd0l28","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"6137","","survey-multi-choice","10","342973","0.0-8.0-1.0","ce4mhkhb7owf4zcd0l28","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"26780","","survey-multi-choice","11","369782","0.0-9.0","ce4mhkhb7owf4zcd0l28","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"6567","","survey-text","12","376359","0.0-10.0","ce4mhkhb7owf4zcd0l28","female","battle","","","age","","","{""Q0"":""39""}"
"43095","","survey-text","13","419459","0.0-11.0","ce4mhkhb7owf4zcd0l28","female","battle","","","purpose","","","{""Q0"":""the compassion of people of if we the reader really read the whole document ""}"
"6241","","survey-text","14","425706","0.0-12.0","ce4mhkhb7owf4zcd0l28","female","battle","","","feedback","","","{""Q0"":""no""}"
"40949","debrief.html","external-html","15","467834","0.0-13.0","ce4mhkhb7owf4zcd0l28","female","battle","","","","","",""
