"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"17236","consent.html","external-html","0","17432","0.0-0.0","fejkgww2wzcagb5lxlur","male","literal","","","","","",""
"1151","","image-button-response","1","18588","0.0-1.0","fejkgww2wzcagb5lxlur","male","literal","check-1.png","1","check1","","",""
"2187","","image-button-response","2","20780","0.0-2.0","fejkgww2wzcagb5lxlur","male","literal","check-2.png","3","check2","","",""
"9807","","instructions","3","30588","0.0-3.0","fejkgww2wzcagb5lxlur","male","literal","","","","[{""page_index"":0,""viewing_time"":4998},{""page_index"":1,""viewing_time"":1359},{""page_index"":2,""viewing_time"":2216},{""page_index"":3,""viewing_time"":1232}]","",""
"6210","","html-slider-response","4","36803","0.0-4.0","fejkgww2wzcagb5lxlur","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_literal.png"" class=""main-trial""/>","","trial","","31",""
"4854","","survey-text","5","41659","0.0-5.0","fejkgww2wzcagb5lxlur","male","literal","","","description","","","{""Q0"":""good""}"
"2461","","survey-likert","6","44124","0.0-6.0-0.0","fejkgww2wzcagb5lxlur","male","literal","","","urgent","","","{""Q0"":4}"
"2356","","survey-likert","7","46484","0.0-6.0-1.0","fejkgww2wzcagb5lxlur","male","literal","","","sympathy","","","{""Q0"":4}"
"5780","","survey-text","8","52267","0.0-7.0","fejkgww2wzcagb5lxlur","male","literal","","","past-donations","","","{""Q0"":""5""}"
"2065","","survey-multi-choice","9","54340","0.0-8.0-0.0","fejkgww2wzcagb5lxlur","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2347","","survey-multi-choice","10","56692","0.0-8.0-1.0","fejkgww2wzcagb5lxlur","male","literal","","","self-cancer","","","{""Q0"":""Yes""}"
"8028","","survey-multi-choice","11","64741","0.0-9.0","fejkgww2wzcagb5lxlur","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Master’s degree (e.g. MA, MS, MEd)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4738","","survey-text","12","69483","0.0-10.0","fejkgww2wzcagb5lxlur","male","literal","","","age","","","{""Q0"":""47""}"
"2190","","survey-text","13","71676","0.0-11.0","fejkgww2wzcagb5lxlur","male","literal","","","purpose","","","{""Q0"":""""}"
"1235","","survey-text","14","72915","0.0-12.0","fejkgww2wzcagb5lxlur","male","literal","","","feedback","","","{""Q0"":""""}"
"3823","debrief.html","external-html","15","78150","0.0-13.0","fejkgww2wzcagb5lxlur","male","literal","","","","","",""
