"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"13217","consent.html","external-html","0","13531","0.0-0.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","","","",""
"2532","","image-button-response","1","16089","0.0-1.0","ge09nb6gy3hzwh1lk0y5","male","literal","check-1.png","1","check1","","",""
"4692","","image-button-response","2","20784","0.0-2.0","ge09nb6gy3hzwh1lk0y5","male","literal","check-2.png","2","check2","","",""
"36024","","instructions","3","56809","0.0-3.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","","[{""page_index"":0,""viewing_time"":6116},{""page_index"":1,""viewing_time"":19402},{""page_index"":2,""viewing_time"":9101},{""page_index"":3,""viewing_time"":1403}]","",""
"57899","","html-slider-response","4","114719","0.0-4.0","ge09nb6gy3hzwh1lk0y5","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","0",""
"43532","","survey-text","5","158255","0.0-5.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","description","","","{""Q0"":""Jason was recently diagnosed with lymphoma. He needs money to help with the expenses of chemotherapy.""}"
"8348","","survey-likert","6","166607","0.0-6.0-0.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","sympathy","","","{""Q0"":3}"
"3842","","survey-likert","7","170457","0.0-6.0-1.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","urgent","","","{""Q0"":4}"
"5564","","survey-text","8","176034","0.0-7.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","past-donations","","","{""Q0"":""0""}"
"7674","","survey-multi-choice","9","183726","0.0-8.0-0.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2403","","survey-multi-choice","10","186133","0.0-8.0-1.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"11758","","survey-multi-choice","11","197931","0.0-9.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"4786","","survey-text","12","202723","0.0-10.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","age","","","{""Q0"":""56""}"
"29278","","survey-text","13","232007","0.0-11.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","purpose","","","{""Q0"":""to see what moves people to donate to a cause for a stranger""}"
"2573","","survey-text","14","234589","0.0-12.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","feedback","","","{""Q0"":""""}"
"39782","debrief.html","external-html","15","275287","0.0-13.0","ge09nb6gy3hzwh1lk0y5","male","literal","","","","","",""
