"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"16174","consent.html","external-html","0","16525","0.0-0.0","ugowcvcxvf5oraje5j0u","female","battle","","","","","",""
"4574","","image-button-response","1","21106","0.0-1.0","ugowcvcxvf5oraje5j0u","female","battle","check-1.png","1","check1","","",""
"11550","","image-button-response","2","32659","0.0-2.0","ugowcvcxvf5oraje5j0u","female","battle","check-2.png","2","check2","","",""
"16692","","instructions","3","49354","0.0-3.0","ugowcvcxvf5oraje5j0u","female","battle","","","","[{""page_index"":0,""viewing_time"":6628},{""page_index"":1,""viewing_time"":1779},{""page_index"":2,""viewing_time"":7053},{""page_index"":3,""viewing_time"":1231}]","",""
"8105","","html-slider-response","4","57463","0.0-4.0","ugowcvcxvf5oraje5j0u","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_battle.png"" class=""main-trial""/>","","trial","","35",""
"30452","","survey-text","5","87919","0.0-5.0","ugowcvcxvf5oraje5j0u","female","battle","","","description","","","{""Q0"":""""}"
"4131","","survey-likert","6","92055","0.0-6.0-0.0","ugowcvcxvf5oraje5j0u","female","battle","","","urgent","","","{""Q0"":4}"
"4013","","survey-likert","7","96074","0.0-6.0-1.0","ugowcvcxvf5oraje5j0u","female","battle","","","sympathy","","","{""Q0"":4}"
"7559","","survey-text","8","103637","0.0-7.0","ugowcvcxvf5oraje5j0u","female","battle","","","past-donations","","","{""Q0"":""20""}"
"3740","","survey-multi-choice","9","107381","0.0-8.0-0.0","ugowcvcxvf5oraje5j0u","female","battle","","","self-cancer","","","{""Q0"":""Prefer not to say""}"
"3443","","survey-multi-choice","10","110829","0.0-8.0-1.0","ugowcvcxvf5oraje5j0u","female","battle","","","ff-cancer","","","{""Q0"":""Prefer not to say""}"
"6907","","survey-multi-choice","11","117753","0.0-9.0","ugowcvcxvf5oraje5j0u","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4148","","survey-text","12","121905","0.0-10.0","ugowcvcxvf5oraje5j0u","female","battle","","","age","","","{""Q0"":""25""}"
"2293","","survey-text","13","124201","0.0-11.0","ugowcvcxvf5oraje5j0u","female","battle","","","purpose","","","{""Q0"":""""}"
"1729","","survey-text","14","125933","0.0-12.0","ugowcvcxvf5oraje5j0u","female","battle","","","feedback","","","{""Q0"":""""}"
"24222","debrief.html","external-html","15","151327","0.0-13.0","ugowcvcxvf5oraje5j0u","female","battle","","","","","",""
