"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3677","consent.html","external-html","0","3850","0.0-0.0","zsrqb9racrx1po7dwp2h","female","literal","","","","","",""
"3328","","image-button-response","1","7186","0.0-1.0","zsrqb9racrx1po7dwp2h","female","literal","check-1.png","1","check1","","",""
"4392","","image-button-response","2","11585","0.0-2.0","zsrqb9racrx1po7dwp2h","female","literal","check-2.png","2","check2","","",""
"43279","","instructions","3","54867","0.0-3.0","zsrqb9racrx1po7dwp2h","female","literal","","","","[{""page_index"":0,""viewing_time"":6175},{""page_index"":1,""viewing_time"":25368},{""page_index"":2,""viewing_time"":9957},{""page_index"":3,""viewing_time"":1778}]","",""
"61632","","html-slider-response","4","116527","0.0-4.0","zsrqb9racrx1po7dwp2h","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","45",""
"42876","","survey-text","5","159415","0.0-5.0","zsrqb9racrx1po7dwp2h","female","literal","","","description","","","{""Q0"":""she's in bad situation. Really needs chemo and help if you can.""}"
"13781","","survey-likert","6","173209","0.0-6.0-0.0","zsrqb9racrx1po7dwp2h","female","literal","","","sympathy","","","{""Q0"":6}"
"8586","","survey-likert","7","181804","0.0-6.0-1.0","zsrqb9racrx1po7dwp2h","female","literal","","","urgent","","","{""Q0"":6}"
"5499","","survey-text","8","187311","0.0-7.0","zsrqb9racrx1po7dwp2h","female","literal","","","past-donations","","","{""Q0"":""1""}"
"5459","","survey-multi-choice","9","192783","0.0-8.0-0.0","zsrqb9racrx1po7dwp2h","female","literal","","","self-cancer","","","{""Q0"":""Prefer not to say""}"
"3447","","survey-multi-choice","10","196242","0.0-8.0-1.0","zsrqb9racrx1po7dwp2h","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"18727","","survey-multi-choice","11","215000","0.0-9.0","zsrqb9racrx1po7dwp2h","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3315","","survey-text","12","218321","0.0-10.0","zsrqb9racrx1po7dwp2h","female","literal","","","age","","","{""Q0"":""33""}"
"21208","","survey-text","13","239534","0.0-11.0","zsrqb9racrx1po7dwp2h","female","literal","","","purpose","","","{""Q0"":""sympathy and how willing people are to donate""}"
"5277","","survey-text","14","244818","0.0-12.0","zsrqb9racrx1po7dwp2h","female","literal","","","feedback","","","{""Q0"":""no""}"
"1485","debrief.html","external-html","15","246415","0.0-13.0","zsrqb9racrx1po7dwp2h","female","literal","","","","","",""
