"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"49119","consent.html","external-html","0","49127","0.0-0.0","07ovr78rz5esdpdlefmr","female","battle","","","","","",""
"3307","","image-button-response","1","52437","0.0-1.0","07ovr78rz5esdpdlefmr","female","battle","check-1.png","1","check1","","",""
"2854","","image-button-response","2","55293","0.0-2.0","07ovr78rz5esdpdlefmr","female","battle","check-2.png","2","check2","","",""
"6703","","instructions","3","61996","0.0-3.0","07ovr78rz5esdpdlefmr","female","battle","","","","[{""page_index"":0,""viewing_time"":751},{""page_index"":1,""viewing_time"":3864},{""page_index"":2,""viewing_time"":1352},{""page_index"":3,""viewing_time"":736}]","",""
"7094","","html-slider-response","4","69093","0.0-4.0","07ovr78rz5esdpdlefmr","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","30",""
"142559","","survey-text","5","211653","0.0-5.0","07ovr78rz5esdpdlefmr","female","battle","","","description","","","{""Q0"":""Jennifer is suffering from Lymphoma. She is raising money to cover her expenses with hospital visits and chemo. ""}"
"1751","","survey-likert","6","213406","0.0-6.0-0.0","07ovr78rz5esdpdlefmr","female","battle","","","urgent","","","{""Q0"":4}"
"3127","","survey-likert","7","216533","0.0-6.0-1.0","07ovr78rz5esdpdlefmr","female","battle","","","sympathy","","","{""Q0"":6}"
"15982","","survey-text","8","232517","0.0-7.0","07ovr78rz5esdpdlefmr","female","battle","","","past-donations","","","{""Q0"":""2""}"
"2775","","survey-multi-choice","9","235293","0.0-8.0-0.0","07ovr78rz5esdpdlefmr","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2287","","survey-multi-choice","10","237581","0.0-8.0-1.0","07ovr78rz5esdpdlefmr","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"6691","","survey-multi-choice","11","244277","0.0-9.0","07ovr78rz5esdpdlefmr","female","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"2598","","survey-text","12","246877","0.0-10.0","07ovr78rz5esdpdlefmr","female","battle","","","age","","","{""Q0"":""28""}"
"6919","","survey-text","13","253797","0.0-11.0","07ovr78rz5esdpdlefmr","female","battle","","","purpose","","","{""Q0"":""im not sure""}"
"1888","","survey-text","14","255685","0.0-12.0","07ovr78rz5esdpdlefmr","female","battle","","","feedback","","","{""Q0"":""""}"
"2419","debrief.html","external-html","15","258350","0.0-13.0","07ovr78rz5esdpdlefmr","female","battle","","","","","",""
