"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"11780","consent.html","external-html","0","11866","0.0-0.0","ag7n3v32y2xrs0rv4sth","male","literal","","","","","",""
"3399","","image-button-response","1","15266","0.0-1.0","ag7n3v32y2xrs0rv4sth","male","literal","check-1.png","1","check1","","",""
"4455","","image-button-response","2","19722","0.0-2.0","ag7n3v32y2xrs0rv4sth","male","literal","check-2.png","2","check2","","",""
"32037","","instructions","3","51759","0.0-3.0","ag7n3v32y2xrs0rv4sth","male","literal","","","","[{""page_index"":0,""viewing_time"":5790},{""page_index"":1,""viewing_time"":19565},{""page_index"":2,""viewing_time"":5209},{""page_index"":3,""viewing_time"":1473}]","",""
"37173","","html-slider-response","4","88933","0.0-4.0","ag7n3v32y2xrs0rv4sth","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","50",""
"39694","","survey-text","5","128628","0.0-5.0","ag7n3v32y2xrs0rv4sth","male","literal","","","description","","","{""Q0"":""Jason is a patient with Cancer and does not have enough to cover his medical expenses.""}"
"5868","","survey-likert","6","134498","0.0-6.0-0.0","ag7n3v32y2xrs0rv4sth","male","literal","","","urgent","","","{""Q0"":6}"
"3548","","survey-likert","7","138048","0.0-6.0-1.0","ag7n3v32y2xrs0rv4sth","male","literal","","","sympathy","","","{""Q0"":6}"
"4055","","survey-text","8","142107","0.0-7.0","ag7n3v32y2xrs0rv4sth","male","literal","","","past-donations","","","{""Q0"":""0""}"
"3120","","survey-multi-choice","9","145229","0.0-8.0-0.0","ag7n3v32y2xrs0rv4sth","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"4109","","survey-multi-choice","10","149343","0.0-8.0-1.0","ag7n3v32y2xrs0rv4sth","male","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"11633","","survey-multi-choice","11","160983","0.0-9.0","ag7n3v32y2xrs0rv4sth","male","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Less than $10,000"",""Q3"":""No""}"
"4321","","survey-text","12","165308","0.0-10.0","ag7n3v32y2xrs0rv4sth","male","literal","","","age","","","{""Q0"":""28""}"
"14498","","survey-text","13","179808","0.0-11.0","ag7n3v32y2xrs0rv4sth","male","literal","","","purpose","","","{""Q0"":""Testing the people's genorosity ""}"
"1970","","survey-text","14","181781","0.0-12.0","ag7n3v32y2xrs0rv4sth","male","literal","","","feedback","","","{""Q0"":""""}"
"31411","debrief.html","external-html","15","213420","0.0-13.0","ag7n3v32y2xrs0rv4sth","male","literal","","","","","",""
