"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"3086","consent.html","external-html","0","3150","0.0-0.0","hw3r81uk2ur9qkroxdth","female","battle","","","","","",""
"1593","","image-button-response","1","4759","0.0-1.0","hw3r81uk2ur9qkroxdth","female","battle","check-1.png","1","check1","","",""
"1275","","image-button-response","2","6045","0.0-2.0","hw3r81uk2ur9qkroxdth","female","battle","check-2.png","2","check2","","",""
"5476","","instructions","3","11526","0.0-3.0","hw3r81uk2ur9qkroxdth","female","battle","","","","[{""page_index"":0,""viewing_time"":1222},{""page_index"":1,""viewing_time"":1215},{""page_index"":2,""viewing_time"":1217},{""page_index"":3,""viewing_time"":1820}]","",""
"12108","","html-slider-response","4","23650","0.0-4.0","hw3r81uk2ur9qkroxdth","female","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fb.png"" class=""main-trial""/>","","trial","","50",""
"55395","","survey-text","5","79057","0.0-5.0","hw3r81uk2ur9qkroxdth","female","battle","","","description","","","{""Q0"":""She is battling with nymphoma. Her friend is trying to raise money for her.""}"
"7057","","survey-likert","6","86126","0.0-6.0-0.0","hw3r81uk2ur9qkroxdth","female","battle","","","sympathy","","","{""Q0"":3}"
"3585","","survey-likert","7","89720","0.0-6.0-1.0","hw3r81uk2ur9qkroxdth","female","battle","","","urgent","","","{""Q0"":3}"
"11032","","survey-text","8","100761","0.0-7.0","hw3r81uk2ur9qkroxdth","female","battle","","","past-donations","","","{""Q0"":""0""}"
"5541","","survey-multi-choice","9","106327","0.0-8.0-0.0","hw3r81uk2ur9qkroxdth","female","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"2935","","survey-multi-choice","10","109281","0.0-8.0-1.0","hw3r81uk2ur9qkroxdth","female","battle","","","self-cancer","","","{""Q0"":""No""}"
"20768","","survey-multi-choice","11","130085","0.0-9.0","hw3r81uk2ur9qkroxdth","female","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"5899","","survey-text","12","135992","0.0-10.0","hw3r81uk2ur9qkroxdth","female","battle","","","age","","","{""Q0"":""29""}"
"20066","","survey-text","13","156068","0.0-11.0","hw3r81uk2ur9qkroxdth","female","battle","","","purpose","","","{""Q0"":""Responses to charity.""}"
"2987","","survey-text","14","159063","0.0-12.0","hw3r81uk2ur9qkroxdth","female","battle","","","feedback","","","{""Q0"":""""}"
"2348","debrief.html","external-html","15","161714","0.0-13.0","hw3r81uk2ur9qkroxdth","female","battle","","","","","",""
