"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"22803","consent.html","external-html","0","22903","0.0-0.0","kujcpjcpewo8vtr2xygd","female","literal","","","","","",""
"2802","","image-button-response","1","25711","0.0-1.0","kujcpjcpewo8vtr2xygd","female","literal","check-1.png","1","check1","","",""
"3898","","image-button-response","2","29611","0.0-2.0","kujcpjcpewo8vtr2xygd","female","literal","check-2.png","2","check2","","",""
"33137","","instructions","3","62749","0.0-3.0","kujcpjcpewo8vtr2xygd","female","literal","","","","[{""page_index"":0,""viewing_time"":2677},{""page_index"":1,""viewing_time"":21802},{""page_index"":2,""viewing_time"":6970},{""page_index"":3,""viewing_time"":1688}]","",""
"39182","","html-slider-response","4","101934","0.0-4.0","kujcpjcpewo8vtr2xygd","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_female_literal.png"" class=""main-trial""/>","","trial","","10",""
"61722","","survey-text","5","163659","0.0-5.0","kujcpjcpewo8vtr2xygd","female","literal","","","description","","","{""Q0"":""suffering from lymphoma, undergoing radiation, dealing with side effects of nausea, fatigue, etc""}"
"11457","","survey-likert","6","175120","0.0-6.0-0.0","kujcpjcpewo8vtr2xygd","female","literal","","","sympathy","","","{""Q0"":5}"
"6756","","survey-likert","7","181877","0.0-6.0-1.0","kujcpjcpewo8vtr2xygd","female","literal","","","urgent","","","{""Q0"":3}"
"13072","","survey-text","8","194952","0.0-7.0","kujcpjcpewo8vtr2xygd","female","literal","","","past-donations","","","{""Q0"":""24""}"
"3947","","survey-multi-choice","9","198902","0.0-8.0-0.0","kujcpjcpewo8vtr2xygd","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"2983","","survey-multi-choice","10","201888","0.0-8.0-1.0","kujcpjcpewo8vtr2xygd","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"10840","","survey-multi-choice","11","212737","0.0-9.0","kujcpjcpewo8vtr2xygd","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Professional degree (e.g. MD, DDS, DVM)"",""Q2"":""$75,000 through $99,999"",""Q3"":""Yes""}"
"3890","","survey-text","12","216628","0.0-10.0","kujcpjcpewo8vtr2xygd","female","literal","","","age","","","{""Q0"":""65""}"
"25702","","survey-text","13","242332","0.0-11.0","kujcpjcpewo8vtr2xygd","female","literal","","","purpose","","","{""Q0"":""if people have experienced cancer, are they willing to donate more?""}"
"1497","","survey-text","14","243832","0.0-12.0","kujcpjcpewo8vtr2xygd","female","literal","","","feedback","","","{""Q0"":""""}"
"24027","debrief.html","external-html","15","268112","0.0-13.0","kujcpjcpewo8vtr2xygd","female","literal","","","","","",""
