"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"19786","consent.html","external-html","0","19903","0.0-0.0","m7lve4lvkhjqbat8ynta","male","battle","","","","","",""
"2112","","image-button-response","1","22029","0.0-1.0","m7lve4lvkhjqbat8ynta","male","battle","check-1.png","1","check1","","",""
"2049","","image-button-response","2","24081","0.0-2.0","m7lve4lvkhjqbat8ynta","male","battle","check-2.png","2","check2","","",""
"31555","","instructions","3","55637","0.0-3.0","m7lve4lvkhjqbat8ynta","male","battle","","","","[{""page_index"":0,""viewing_time"":3803},{""page_index"":1,""viewing_time"":20980},{""page_index"":2,""viewing_time"":5226},{""page_index"":3,""viewing_time"":1545}]","",""
"30541","","html-slider-response","4","86184","0.0-4.0","m7lve4lvkhjqbat8ynta","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","40",""
"25489","","survey-text","5","111677","0.0-5.0","m7lve4lvkhjqbat8ynta","male","battle","","","description","","","{""Q0"":""Jason is a cancer patient beginning treatment. He has a type of lymphoma and will be starting chemotherapy and needs money to pay for treatment. ""}"
"6708","","survey-likert","6","118389","0.0-6.0-0.0","m7lve4lvkhjqbat8ynta","male","battle","","","sympathy","","","{""Q0"":6}"
"4110","","survey-likert","7","122504","0.0-6.0-1.0","m7lve4lvkhjqbat8ynta","male","battle","","","urgent","","","{""Q0"":6}"
"4000","","survey-text","8","126507","0.0-7.0","m7lve4lvkhjqbat8ynta","male","battle","","","past-donations","","","{""Q0"":""5""}"
"2885","","survey-multi-choice","9","129398","0.0-8.0-0.0","m7lve4lvkhjqbat8ynta","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"5349","","survey-multi-choice","10","134752","0.0-8.0-1.0","m7lve4lvkhjqbat8ynta","male","battle","","","ff-cancer","","","{""Q0"":""Yes""}"
"16086","","survey-multi-choice","11","150855","0.0-9.0","m7lve4lvkhjqbat8ynta","male","battle","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"4397","","survey-text","12","155256","0.0-10.0","m7lve4lvkhjqbat8ynta","male","battle","","","age","","","{""Q0"":""30""}"
"24869","","survey-text","13","180127","0.0-11.0","m7lve4lvkhjqbat8ynta","male","battle","","","purpose","","","{""Q0"":""How much people will donate to others vs getting a reward for themselves""}"
"1359","","survey-text","14","181488","0.0-12.0","m7lve4lvkhjqbat8ynta","male","battle","","","feedback","","","{""Q0"":""""}"
"24113","debrief.html","external-html","15","205941","0.0-13.0","m7lve4lvkhjqbat8ynta","male","battle","","","","","",""
