"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"55288","consent.html","external-html","0","55455","0.0-0.0","n9gbbfs4kle0k7w4utt8","male","journey","","","","","",""
"4202","","image-button-response","1","59661","0.0-1.0","n9gbbfs4kle0k7w4utt8","male","journey","check-1.png","1","check1","","",""
"3243","","image-button-response","2","62906","0.0-2.0","n9gbbfs4kle0k7w4utt8","male","journey","check-2.png","2","check2","","",""
"52955","","instructions","3","115863","0.0-3.0","n9gbbfs4kle0k7w4utt8","male","journey","","","","[{""page_index"":0,""viewing_time"":7248},{""page_index"":1,""viewing_time"":36862},{""page_index"":2,""viewing_time"":7217},{""page_index"":3,""viewing_time"":1627}]","",""
"105413","","html-slider-response","4","221282","0.0-4.0","n9gbbfs4kle0k7w4utt8","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","40",""
"70855","","survey-text","5","292139","0.0-5.0","n9gbbfs4kle0k7w4utt8","male","journey","","","description","","","{""Q0"":""jason is going through a rough time in his life right now with this disease. he seems upbeat and will get through this tough time. he needs some help with expenses while he battles this disease.""}"
"10560","","survey-likert","6","302701","0.0-6.0-0.0","n9gbbfs4kle0k7w4utt8","male","journey","","","urgent","","","{""Q0"":5}"
"3808","","survey-likert","7","306512","0.0-6.0-1.0","n9gbbfs4kle0k7w4utt8","male","journey","","","sympathy","","","{""Q0"":6}"
"5132","","survey-text","8","311647","0.0-7.0","n9gbbfs4kle0k7w4utt8","male","journey","","","past-donations","","","{""Q0"":""2""}"
"4833","","survey-multi-choice","9","316483","0.0-8.0-0.0","n9gbbfs4kle0k7w4utt8","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2371","","survey-multi-choice","10","318858","0.0-8.0-1.0","n9gbbfs4kle0k7w4utt8","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"12816","","survey-multi-choice","11","331682","0.0-9.0","n9gbbfs4kle0k7w4utt8","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4290","","survey-text","12","335974","0.0-10.0","n9gbbfs4kle0k7w4utt8","male","journey","","","age","","","{""Q0"":""43""}"
"18410","","survey-text","13","354385","0.0-11.0","n9gbbfs4kle0k7w4utt8","male","journey","","","purpose","","","{""Q0"":""how giving to charities people are.""}"
"3784","","survey-text","14","358170","0.0-12.0","n9gbbfs4kle0k7w4utt8","male","journey","","","feedback","","","{""Q0"":""no""}"
"16082","debrief.html","external-html","15","374692","0.0-13.0","n9gbbfs4kle0k7w4utt8","male","journey","","","","","",""
