"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"18029","consent.html","external-html","0","18108","0.0-0.0","otlqwx43jjmj6f9f1axd","female","journey","","","","","",""
"2185","","image-button-response","1","20297","0.0-1.0","otlqwx43jjmj6f9f1axd","female","journey","check-1.png","1","check1","","",""
"3109","","image-button-response","2","23409","0.0-2.0","otlqwx43jjmj6f9f1axd","female","journey","check-2.png","2","check2","","",""
"33294","","instructions","3","56704","0.0-3.0","otlqwx43jjmj6f9f1axd","female","journey","","","","[{""page_index"":0,""viewing_time"":4481},{""page_index"":1,""viewing_time"":20657},{""page_index"":2,""viewing_time"":6701},{""page_index"":3,""viewing_time"":1454}]","",""
"93538","","html-slider-response","4","150245","0.0-4.0","otlqwx43jjmj6f9f1axd","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","40",""
"44156","","survey-text","5","194403","0.0-5.0","otlqwx43jjmj6f9f1axd","female","journey","","","description","","","{""Q0"":""She is going to need money to cover her procedures and treatment from all the medical issues she is facing, this will help her stay focused on getting better.""}"
"9626","","survey-likert","6","204032","0.0-6.0-0.0","otlqwx43jjmj6f9f1axd","female","journey","","","urgent","","","{""Q0"":5}"
"6285","","survey-likert","7","210319","0.0-6.0-1.0","otlqwx43jjmj6f9f1axd","female","journey","","","sympathy","","","{""Q0"":6}"
"3103","","survey-text","8","213424","0.0-7.0","otlqwx43jjmj6f9f1axd","female","journey","","","past-donations","","","{""Q0"":""0""}"
"4561","","survey-multi-choice","9","217988","0.0-8.0-0.0","otlqwx43jjmj6f9f1axd","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2181","","survey-multi-choice","10","220172","0.0-8.0-1.0","otlqwx43jjmj6f9f1axd","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"11383","","survey-multi-choice","11","231564","0.0-9.0","otlqwx43jjmj6f9f1axd","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""Prefer not to say"",""Q3"":""Yes""}"
"2786","","survey-text","12","234352","0.0-10.0","otlqwx43jjmj6f9f1axd","female","journey","","","age","","","{""Q0"":""23""}"
"12329","","survey-text","13","246682","0.0-11.0","otlqwx43jjmj6f9f1axd","female","journey","","","purpose","","","{""Q0"":""you empathy and incentive""}"
"2190","","survey-text","14","248873","0.0-12.0","otlqwx43jjmj6f9f1axd","female","journey","","","feedback","","","{""Q0"":""""}"
"28332","debrief.html","external-html","15","277309","0.0-13.0","otlqwx43jjmj6f9f1axd","female","journey","","","","","",""
