"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"27163","consent.html","external-html","0","27264","0.0-0.0","p7gjscyjo3wsw72478lu","male","journey","","","","","",""
"4300","","image-button-response","1","31570","0.0-1.0","p7gjscyjo3wsw72478lu","male","journey","check-1.png","1","check1","","",""
"4973","","image-button-response","2","36545","0.0-2.0","p7gjscyjo3wsw72478lu","male","journey","check-2.png","2","check2","","",""
"44647","","instructions","3","81193","0.0-3.0","p7gjscyjo3wsw72478lu","male","journey","","","","[{""page_index"":0,""viewing_time"":11375},{""page_index"":1,""viewing_time"":25639},{""page_index"":2,""viewing_time"":6032},{""page_index"":3,""viewing_time"":1600}]","",""
"77526","","html-slider-response","4","158722","0.0-4.0","p7gjscyjo3wsw72478lu","male","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_male_journey.png"" class=""main-trial""/>","","trial","","20",""
"56782","","survey-text","5","215505","0.0-5.0","p7gjscyjo3wsw72478lu","male","journey","","","description","","","{""Q0"":""Jason is going through hell now as he was diagnosed with Stage II Lymphoma. He is trying to stay positive and is willing to do whatever treatment is recommended.""}"
"9366","","survey-likert","6","224873","0.0-6.0-0.0","p7gjscyjo3wsw72478lu","male","journey","","","sympathy","","","{""Q0"":6}"
"5058","","survey-likert","7","229937","0.0-6.0-1.0","p7gjscyjo3wsw72478lu","male","journey","","","urgent","","","{""Q0"":5}"
"8257","","survey-text","8","238200","0.0-7.0","p7gjscyjo3wsw72478lu","male","journey","","","past-donations","","","{""Q0"":""8""}"
"4974","","survey-multi-choice","9","243177","0.0-8.0-0.0","p7gjscyjo3wsw72478lu","male","journey","","","self-cancer","","","{""Q0"":""No""}"
"5288","","survey-multi-choice","10","248473","0.0-8.0-1.0","p7gjscyjo3wsw72478lu","male","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"20979","","survey-multi-choice","11","269466","0.0-9.0","p7gjscyjo3wsw72478lu","male","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$50,000 through $74,999"",""Q3"":""Yes""}"
"8161","","survey-text","12","277633","0.0-10.0","p7gjscyjo3wsw72478lu","male","journey","","","age","","","{""Q0"":""55""}"
"12472","","survey-text","13","290105","0.0-11.0","p7gjscyjo3wsw72478lu","male","journey","","","purpose","","","{""Q0"":""I really do not know.""}"
"2119","","survey-text","14","292225","0.0-12.0","p7gjscyjo3wsw72478lu","male","journey","","","feedback","","","{""Q0"":""""}"
"34253","debrief.html","external-html","15","326749","0.0-13.0","p7gjscyjo3wsw72478lu","male","journey","","","","","",""
