"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"25913","consent.html","external-html","0","26153","0.0-0.0","qyonjvn2vekzhs6fckwx","female","literal","","","","","",""
"2829","","image-button-response","1","29002","0.0-1.0","qyonjvn2vekzhs6fckwx","female","literal","check-1.png","1","check1","","",""
"3525","","image-button-response","2","32534","0.0-2.0","qyonjvn2vekzhs6fckwx","female","literal","check-2.png","2","check2","","",""
"45020","","instructions","3","77558","0.0-3.0","qyonjvn2vekzhs6fckwx","female","literal","","","","[{""page_index"":0,""viewing_time"":7622},{""page_index"":1,""viewing_time"":25396},{""page_index"":2,""viewing_time"":10064},{""page_index"":3,""viewing_time"":1935}]","",""
"99354","","html-slider-response","4","176923","0.0-4.0","qyonjvn2vekzhs6fckwx","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","47",""
"128624","","survey-text","5","305556","0.0-5.0","qyonjvn2vekzhs6fckwx","female","literal","","","description","","","{""Q0"":""That it is very saddening what she must be feeling and going through, mentally and physically. That she really will need the financial help with all the medical bills she is going to have.""}"
"9184","","survey-likert","6","314750","0.0-6.0-0.0","qyonjvn2vekzhs6fckwx","female","literal","","","sympathy","","","{""Q0"":6}"
"9142","","survey-likert","7","323902","0.0-6.0-1.0","qyonjvn2vekzhs6fckwx","female","literal","","","urgent","","","{""Q0"":5}"
"10905","","survey-text","8","334816","0.0-7.0","qyonjvn2vekzhs6fckwx","female","literal","","","past-donations","","","{""Q0"":""4""}"
"5459","","survey-multi-choice","9","340291","0.0-8.0-0.0","qyonjvn2vekzhs6fckwx","female","literal","","","ff-cancer","","","{""Q0"":""No""}"
"3703","","survey-multi-choice","10","344009","0.0-8.0-1.0","qyonjvn2vekzhs6fckwx","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"19403","","survey-multi-choice","11","363467","0.0-9.0","qyonjvn2vekzhs6fckwx","female","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4433","","survey-text","12","367909","0.0-10.0","qyonjvn2vekzhs6fckwx","female","literal","","","age","","","{""Q0"":""41""}"
"41293","","survey-text","13","409210","0.0-11.0","qyonjvn2vekzhs6fckwx","female","literal","","","purpose","","","{""Q0"":""If feelings and personal experience play a part in donating to charities ""}"
"4978","","survey-text","14","414194","0.0-12.0","qyonjvn2vekzhs6fckwx","female","literal","","","feedback","","","{""Q0"":""No""}"
"60820","debrief.html","external-html","15","475366","0.0-13.0","qyonjvn2vekzhs6fckwx","female","literal","","","","","",""
