"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"28637","consent.html","external-html","0","28728","0.0-0.0","r84b4wcgo9r3yqyxaks5","female","journey","","","","","",""
"2038","","image-button-response","1","30767","0.0-1.0","r84b4wcgo9r3yqyxaks5","female","journey","check-1.png","1","check1","","",""
"2359","","image-button-response","2","33127","0.0-2.0","r84b4wcgo9r3yqyxaks5","female","journey","check-2.png","2","check2","","",""
"27718","","instructions","3","60846","0.0-3.0","r84b4wcgo9r3yqyxaks5","female","journey","","","","[{""page_index"":0,""viewing_time"":6158},{""page_index"":1,""viewing_time"":14703},{""page_index"":2,""viewing_time"":5816},{""page_index"":3,""viewing_time"":1040}]","",""
"42333","","html-slider-response","4","103180","0.0-4.0","r84b4wcgo9r3yqyxaks5","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","4",""
"37397","","survey-text","5","140578","0.0-5.0","r84b4wcgo9r3yqyxaks5","female","journey","","","description","","","{""Q0"":""Jennifer has lymphoma and has begun chemotherapy.  Her friend is raising money to help with cancer related expenses.""}"
"9597","","survey-likert","6","150178","0.0-6.0-0.0","r84b4wcgo9r3yqyxaks5","female","journey","","","urgent","","","{""Q0"":5}"
"4470","","survey-likert","7","154650","0.0-6.0-1.0","r84b4wcgo9r3yqyxaks5","female","journey","","","sympathy","","","{""Q0"":5}"
"12317","","survey-text","8","166969","0.0-7.0","r84b4wcgo9r3yqyxaks5","female","journey","","","past-donations","","","{""Q0"":""3""}"
"3046","","survey-multi-choice","9","170017","0.0-8.0-0.0","r84b4wcgo9r3yqyxaks5","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"2062","","survey-multi-choice","10","172081","0.0-8.0-1.0","r84b4wcgo9r3yqyxaks5","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"11929","","survey-multi-choice","11","184016","0.0-9.0","r84b4wcgo9r3yqyxaks5","female","journey","","","demographics","","","{""Q0"":""Female"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3726","","survey-text","12","187744","0.0-10.0","r84b4wcgo9r3yqyxaks5","female","journey","","","age","","","{""Q0"":""32""}"
"22189","","survey-text","13","209935","0.0-11.0","r84b4wcgo9r3yqyxaks5","female","journey","","","purpose","","","{""Q0"":""The impact of personal narratives for crowdfunding""}"
"10039","","survey-text","14","219975","0.0-12.0","r84b4wcgo9r3yqyxaks5","female","journey","","","feedback","","","{""Q0"":""No""}"
"15248","debrief.html","external-html","15","235510","0.0-13.0","r84b4wcgo9r3yqyxaks5","female","journey","","","","","",""
