"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"9910","consent.html","external-html","0","10014","0.0-0.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","","","",""
"3774","","image-button-response","1","13791","0.0-1.0","rnjd3j8jrq3g1nptt3kd","female","literal","check-1.png","1","check1","","",""
"4678","","image-button-response","2","18471","0.0-2.0","rnjd3j8jrq3g1nptt3kd","female","literal","check-2.png","2","check2","","",""
"101439","","instructions","3","119910","0.0-3.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","","[{""page_index"":0,""viewing_time"":33453},{""page_index"":1,""viewing_time"":58297},{""page_index"":2,""viewing_time"":7906},{""page_index"":3,""viewing_time"":1782}]","",""
"38928","","html-slider-response","4","158840","0.0-4.0","rnjd3j8jrq3g1nptt3kd","female","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fl.png"" class=""main-trial""/>","","trial","","0",""
"78696","","survey-text","5","237538","0.0-5.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","description","","","{""Q0"":""Jennifer is wrestling with lymphoma. Her friend is asking for donations to help Jennifer.""}"
"16234","","survey-likert","6","253774","0.0-6.0-0.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","sympathy","","","{""Q0"":6}"
"4047","","survey-likert","7","257822","0.0-6.0-1.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","urgent","","","{""Q0"":6}"
"3794","","survey-text","8","261617","0.0-7.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","past-donations","","","{""Q0"":""0""}"
"3100","","survey-multi-choice","9","264720","0.0-8.0-0.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","self-cancer","","","{""Q0"":""No""}"
"5888","","survey-multi-choice","10","270610","0.0-8.0-1.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","ff-cancer","","","{""Q0"":""Yes""}"
"22383","","survey-multi-choice","11","293000","0.0-9.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""Less than $10,000"",""Q3"":""Yes""}"
"4132","","survey-text","12","297133","0.0-10.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","age","","","{""Q0"":""28""}"
"36364","","survey-text","13","333499","0.0-11.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","purpose","","","{""Q0"":""""}"
"2131","","survey-text","14","335631","0.0-12.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","feedback","","","{""Q0"":""""}"
"7761","debrief.html","external-html","15","343812","0.0-13.0","rnjd3j8jrq3g1nptt3kd","female","literal","","","","","",""
