"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"18983","consent.html","external-html","0","19093","0.0-0.0","8nrpby5jrc2btud1nn2v","female","journey","","","","","",""
"4526","","image-button-response","1","23623","0.0-1.0","8nrpby5jrc2btud1nn2v","female","journey","check-1.png","1","check1","","",""
"5513","","image-button-response","2","29136","0.0-2.0","8nrpby5jrc2btud1nn2v","female","journey","check-2.png","2","check2","","",""
"56993","","instructions","3","86130","0.0-3.0","8nrpby5jrc2btud1nn2v","female","journey","","","","[{""page_index"":0,""viewing_time"":10389},{""page_index"":1,""viewing_time"":37673},{""page_index"":2,""viewing_time"":7734},{""page_index"":3,""viewing_time"":1196}]","",""
"26708","","html-slider-response","4","112840","0.0-4.0","8nrpby5jrc2btud1nn2v","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","50",""
"31314","","survey-text","5","144155","0.0-5.0","8nrpby5jrc2btud1nn2v","female","journey","","","description","","","{""Q0"":""Jennifer is in a medical emergency. She needs financial support to combat her situation.""}"
"8013","","survey-likert","6","152170","0.0-6.0-0.0","8nrpby5jrc2btud1nn2v","female","journey","","","urgent","","","{""Q0"":6}"
"3076","","survey-likert","7","155248","0.0-6.0-1.0","8nrpby5jrc2btud1nn2v","female","journey","","","sympathy","","","{""Q0"":6}"
"4827","","survey-text","8","160076","0.0-7.0","8nrpby5jrc2btud1nn2v","female","journey","","","past-donations","","","{""Q0"":""0""}"
"5686","","survey-multi-choice","9","165764","0.0-8.0-0.0","8nrpby5jrc2btud1nn2v","female","journey","","","self-cancer","","","{""Q0"":""Prefer not to say""}"
"2794","","survey-multi-choice","10","168560","0.0-8.0-1.0","8nrpby5jrc2btud1nn2v","female","journey","","","ff-cancer","","","{""Q0"":""Prefer not to say""}"
"10198","","survey-multi-choice","11","178764","0.0-9.0","8nrpby5jrc2btud1nn2v","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3395","","survey-text","12","182162","0.0-10.0","8nrpby5jrc2btud1nn2v","female","journey","","","age","","","{""Q0"":""37""}"
"13851","","survey-text","13","196014","0.0-11.0","8nrpby5jrc2btud1nn2v","female","journey","","","purpose","","","{""Q0"":""It was an interest experiment.""}"
"3233","","survey-text","14","199247","0.0-12.0","8nrpby5jrc2btud1nn2v","female","journey","","","feedback","","","{""Q0"":""""}"
"7819","debrief.html","external-html","15","207419","0.0-13.0","8nrpby5jrc2btud1nn2v","female","journey","","","","","",""
