"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"8676","consent.html","external-html","0","9007","0.0-0.0","901byhr9nlo95f54pqxw","male","battle","","","","","",""
"1776","","image-button-response","1","10792","0.0-1.0","901byhr9nlo95f54pqxw","male","battle","check-1.png","1","check1","","",""
"2874","","image-button-response","2","13671","0.0-2.0","901byhr9nlo95f54pqxw","male","battle","check-2.png","2","check2","","",""
"27197","","instructions","3","40870","0.0-3.0","901byhr9nlo95f54pqxw","male","battle","","","","[{""page_index"":0,""viewing_time"":6037},{""page_index"":1,""viewing_time"":14688},{""page_index"":2,""viewing_time"":5288},{""page_index"":3,""viewing_time"":1180}]","",""
"14194","","html-slider-response","4","55072","0.0-4.0","901byhr9nlo95f54pqxw","male","battle","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_mb.png"" class=""main-trial""/>","","trial","","15",""
"74956","","survey-text","5","130033","0.0-5.0","901byhr9nlo95f54pqxw","male","battle","","","description","","","{""Q0"":""Jason is suffering with lymphoma. Lymphoma is a scary type of cancer.""}"
"3216","","survey-likert","6","133256","0.0-6.0-0.0","901byhr9nlo95f54pqxw","male","battle","","","sympathy","","","{""Q0"":4}"
"2206","","survey-likert","7","135480","0.0-6.0-1.0","901byhr9nlo95f54pqxw","male","battle","","","urgent","","","{""Q0"":4}"
"2551","","survey-text","8","138046","0.0-7.0","901byhr9nlo95f54pqxw","male","battle","","","past-donations","","","{""Q0"":""0""}"
"2654","","survey-multi-choice","9","140711","0.0-8.0-0.0","901byhr9nlo95f54pqxw","male","battle","","","ff-cancer","","","{""Q0"":""No""}"
"2198","","survey-multi-choice","10","142928","0.0-8.0-1.0","901byhr9nlo95f54pqxw","male","battle","","","self-cancer","","","{""Q0"":""No""}"
"17060","","survey-multi-choice","11","160040","0.0-9.0","901byhr9nlo95f54pqxw","male","battle","","","demographics","","","{""Q0"":""Male"",""Q1"":""High school degree or equivalent (e.g. GED)"",""Q2"":""$10,000 through $24,999"",""Q3"":""Yes""}"
"3446","","survey-text","12","163500","0.0-10.0","901byhr9nlo95f54pqxw","male","battle","","","age","","","{""Q0"":""28""}"
"2288","","survey-text","13","165792","0.0-11.0","901byhr9nlo95f54pqxw","male","battle","","","purpose","","","{""Q0"":""""}"
"1579","","survey-text","14","167374","0.0-12.0","901byhr9nlo95f54pqxw","male","battle","","","feedback","","","{""Q0"":""""}"
"37201","debrief.html","external-html","15","205388","0.0-13.0","901byhr9nlo95f54pqxw","male","battle","","","","","",""
