"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"2646","consent.html","external-html","0","2725","0.0-0.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","","","",""
"2706","","image-button-response","1","5432","0.0-1.0","bcmrge5ahs5fnq6dg6aw","male","literal","check-1.png","1","check1","","",""
"2995","","image-button-response","2","8428","0.0-2.0","bcmrge5ahs5fnq6dg6aw","male","literal","check-2.png","2","check2","","",""
"18866","","instructions","3","27295","0.0-3.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","","[{""page_index"":0,""viewing_time"":4578},{""page_index"":1,""viewing_time"":11531},{""page_index"":2,""viewing_time"":1879},{""page_index"":3,""viewing_time"":878}]","",""
"26332","","html-slider-response","4","53628","0.0-4.0","bcmrge5ahs5fnq6dg6aw","male","literal","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_ml.png"" class=""main-trial""/>","","trial","","20",""
"101246","","survey-text","5","154875","0.0-5.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","description","","","{""Q0"":""Jason was diagnosed with Stage two lymphoma after the thyroid surgery.  He will receive treatment every 21 days in the next 3-4 months.""}"
"4680","","survey-likert","6","159556","0.0-6.0-0.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","urgent","","","{""Q0"":4}"
"3273","","survey-likert","7","162831","0.0-6.0-1.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","sympathy","","","{""Q0"":3}"
"3025","","survey-text","8","165857","0.0-7.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","past-donations","","","{""Q0"":""1""}"
"3507","","survey-multi-choice","9","169366","0.0-8.0-0.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","ff-cancer","","","{""Q0"":""No""}"
"2194","","survey-multi-choice","10","171561","0.0-8.0-1.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","self-cancer","","","{""Q0"":""No""}"
"12379","","survey-multi-choice","11","183945","0.0-9.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","demographics","","","{""Q0"":""Female"",""Q1"":""Bachelor’s degree (e.g. BA, BS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3342","","survey-text","12","187288","0.0-10.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","age","","","{""Q0"":""29""}"
"3856","","survey-text","13","191145","0.0-11.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","purpose","","","{""Q0"":""""}"
"1481","","survey-text","14","192627","0.0-12.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","feedback","","","{""Q0"":""""}"
"1635","debrief.html","external-html","15","194490","0.0-13.0","bcmrge5ahs5fnq6dg6aw","male","literal","","","","","",""
